,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000037795,0.0014025924760958169,0.6751766881666752,0.6783540552387041,-0.005157452708091477,0.007962516943396954,N4bp2
ENSMUSG00000053199,0.001400653630411357,0.6756000801306057,0.6787516641037168,-0.005159391505993435,0.007960578216799912,Arhgap20
ENSMUSG00000047085,0.0013654555341685352,0.6833041307851002,0.6864073900018731,-0.00519458872621075,0.007925382273913692,Lrrc4b
ENSMUSG00000022453,0.0013562784670628064,0.6853182513668434,0.6884024919220497,-0.005203765562242237,0.007916205765573257,Naga
ENSMUSG00000034467,0.001304548201785725,0.696713173485864,0.6998200644530105,-0.005255494504306935,0.007864478629336154,Dynlrb2
ENSMUSG00000028149,0.0012739078997277315,0.7034951033713188,0.7065166187251041,-0.00528613400605809,0.007833840164081354,Rap1gds1
ENSMUSG00000060924,0.0012441768548110198,0.7100984099274219,0.7130899488951721,-0.005315864262642882,0.007804110889686571,Csmd1
ENSMUSG00000105168,0.001231803815299576,0.7128529406412467,0.7158268056696887,-0.005328236970660259,0.007791738583588294,Gm43565
ENSMUSG00000029640,0.0012085695560021348,0.71803554192133,0.721001538802196,-0.005351470602046658,0.007768505696077137,Usp12
ENSMUSG00000037772,0.001197071508735559,0.7206051046919838,0.7235225342656355,-0.005362968335956232,0.0077570083250533125,Mrpl23
ENSMUSG00000021760,0.0011791359342887807,0.7246196114288683,0.7274937926723196,-0.005380903418140661,0.007739073802001255,Gpx8
ENSMUSG00000026664,0.0011385180161787478,0.7337389740696432,0.7364686354342782,-0.005421520205844023,0.007698458249338528,Phyh
ENSMUSG00000021208,0.0011225907894706051,0.7373252489187485,0.7400077468606922,-0.00543744698338566,0.007682531944269482,Ifi27l2b
ENSMUSG00000096546,0.0011061118632496908,0.7410417762984812,0.7436769953680895,-0.005453925441378406,0.0076660539681091735,Smlr1
ENSMUSG00000027326,0.0010817039628658028,0.7465576385798469,0.7491818500127688,-0.005478332641695713,0.007641647468369354,Knl1
ENSMUSG00000048856,0.0010774176345152728,0.7475276429319484,0.7501246041306738,-0.005482618846299101,0.007637361385182417,Slc25a47
ENSMUSG00000032698,0.0010306590137171754,0.7581348801503215,0.760663271562761,-0.005529376101509627,0.007590605423164116,Lmo2
ENSMUSG00000021987,0.0010000349857050472,0.7651068685155372,0.7675453066843781,-0.00555999921960035,0.007559983120944951,Mtmr6
