,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000028845,-0.1693723344670165,1.4644500706133748e-260,2.2131631715480956e-260,-0.17879833716779403,-0.15991524336454221,Tekt2
ENSMUSG00000032174,-0.17041236504842974,8.30101557828642e-264,1.2569678343861933e-263,-0.17983484324831878,-0.16095861892765675,Icam5
ENSMUSG00000026307,-0.17108268928885823,6.535855660975929e-266,9.916333881013395e-266,-0.180502884776671,-0.1616311102864831,Scly
ENSMUSG00000023387,-0.17112773839929235,4.71623349651205e-266,7.157737891200562e-266,-0.18054778016587023,-0.16167630535280578,Kcnk16
ENSMUSG00000046876,-0.1712749190226378,1.62308470451524e-266,2.4648211154369632e-266,-0.18069445829064745,-0.16182396310718514,Atxn1
ENSMUSG00000024727,-0.1714004505670426,6.529628765723214e-267,9.920432643152863e-267,-0.18081956091887877,-0.16194990193491177,Trpm6
ENSMUSG00000022097,-0.17179750753933323,3.6476314151715985e-268,5.554486698906044e-268,-0.18121525922022116,-0.16234824917349208,Sftpc
ENSMUSG00000032462,-0.17180810408109054,3.3770045777704954e-268,5.143952136741044e-268,-0.18122581946038496,-0.1623588801916995,Pik3cb
ENSMUSG00000073542,-0.17187582622938918,2.0630697908218038e-268,3.143485891850989e-268,-0.18129330955510506,-0.1624268227296621,Cep76
ENSMUSG00000063683,-0.17188331735072568,1.9535954848952257e-268,2.9771342348296643e-268,-0.18130077500226305,-0.16243433823502193,Glyat
ENSMUSG00000032590,-0.17199530070815972,8.64419987446492e-269,1.3177133954977013e-268,-0.1814123744318654,-0.16254668623530513,Apeh
ENSMUSG00000030844,-0.17207761153550483,4.745539899874877e-269,7.236260902523448e-269,-0.18149440290710298,-0.16262926524132792,Rgs10
ENSMUSG00000025764,-0.17229810761731,9.505006485869774e-270,1.4507030656089399e-269,-0.18171414197207986,-0.16285048037837555,Jade1
ENSMUSG00000037390,-0.17245841528102582,2.9487347157215164e-270,4.503260103423207e-270,-0.18187389867012632,-0.1630113114144422,Muc3
ENSMUSG00000044393,-0.17267768243127582,5.936611267268617e-271,9.075999491314198e-271,-0.18209241141040275,-0.1632312952409499,Dsg2
ENSMUSG00000024130,-0.17283376372959036,1.8943164975920228e-271,2.897837689447794e-271,-0.18224795512926226,-0.1633878872644,Abca3
ENSMUSG00000032087,-0.17289696095711699,1.192476564646726e-271,1.824753733200805e-271,-0.18231093455716435,-0.16345129141961015,Dscaml1
ENSMUSG00000097404,-0.17328795385434706,6.778090268758531e-273,1.0391062806620467e-272,-0.18270057823954158,-0.16384356628584645,Gm10814
ENSMUSG00000021118,-0.17343569804007192,2.2894925394851404e-273,3.511491624977209e-273,-0.18284781182875842,-0.16399179566575792,Plek2
ENSMUSG00000099364,-0.173652030092907,4.664043069412336e-274,7.1578315982387e-274,-0.18306339548719314,-0.16420883892579646,5730419F03Rik
ENSMUSG00000023467,-0.174165370648155,1.0602212926669274e-275,1.6303572084682874e-275,-0.18357495653359004,-0.1647238707842182,Tulp2
ENSMUSG00000057092,-0.17425726909056177,5.378320992554391e-276,8.271794820908014e-276,-0.1836665358697061,-0.1648160725477852,Fxyd3
ENSMUSG00000028048,-0.17425985217263268,5.276664218037961e-276,8.116696228330965e-276,-0.18366910997997504,-0.16481866415799354,Gba
ENSMUSG00000004626,-0.1743026146910298,3.8472097083773024e-276,5.9206058916240415e-276,-0.1837117239528473,-0.16486156787731157,Stxbp2
ENSMUSG00000029516,-0.17444056613041745,1.3875477119672598e-276,2.135674483557426e-276,-0.1838491959448415,-0.16499997507294037,Cit
ENSMUSG00000032754,-0.17467357416500426,2.4734686465493364e-277,3.8094388519164273e-277,-0.1840813933289354,-0.16523375375082963,Slc8b1
ENSMUSG00000040657,-0.17500664201856997,2.0934894570224874e-278,3.230195119615009e-278,-0.1844133005940072,-0.16556792502422427,1700063H04Rik
ENSMUSG00000063549,-0.17508769931574444,1.1469437237597513e-278,1.769974882345295e-278,-0.18449407511912747,-0.16564925118388826,Olfr322
ENSMUSG00000005251,-0.1751018465164374,1.0325667020348689e-278,1.5937130761458077e-278,-0.18450817295364544,-0.16566344532320712,Ripk4
ENSMUSG00000018339,-0.1754341900620262,8.72929156396415e-280,1.3483613784312868e-279,-0.18483935568421675,-0.16599689266769482,Gpx3
