,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000039601,0.47339839621525015,0.0,0.0,0.46829267783904127,0.478472501227245,Rcan2
ENSMUSG00000030116,0.4733523646304418,0.0,0.0,0.4682463610227197,0.478426756172493,Mfap5
ENSMUSG00000068859,0.47331510741488897,0.0,0.0,0.46820887296596864,0.4783897308495372,Sp9
ENSMUSG00000079852,0.47321884133763564,0.0,0.0,0.4681120105208595,0.47829406385834,Klra4
ENSMUSG00000110000,0.47307825624740113,0.0,0.0,0.467970554727181,0.4781543534452241,Gm45586
ENSMUSG00000100625,0.4730237030250059,0.0,0.0,0.4679156637038898,0.47810013956698655,1700016G22Rik
ENSMUSG00000096606,0.472865793900773,0.0,0.0,0.46775677700724283,0.47794321248637206,Tpbgl
ENSMUSG00000035557,0.47272828125351696,0.0,0.0,0.46761841332558973,0.4778065547721503,Krt17
ENSMUSG00000074665,0.47272223976402655,0.0,0.0,0.4676123344524417,0.47780055083770623,Bpifb4
ENSMUSG00000022705,0.4718943749636724,0.0,0.0,0.46677935154355704,0.476977827715496,Drd3
ENSMUSG00000023802,0.4718309881385585,0.0,0.0,0.466715573216123,0.4769148342042354,Nox3
ENSMUSG00000068008,0.47182723962982054,0.0,0.0,0.4667118015567658,0.47691110895327593,Bpifb3
ENSMUSG00000023800,0.4717462492954685,0.0,0.0,0.4666303110752382,0.4768306210822221,Tiam2
ENSMUSG00000022304,0.4716223387538884,0.0,0.0,0.4665056355054214,0.4767074791155051,Dpys
ENSMUSG00000036845,0.47156033064349595,0.0,0.0,0.46644324463100667,0.4766458555453644,Lin37
ENSMUSG00000057234,0.4713978954294227,0.0,0.0,0.4662798069772889,0.47648442742834984,Mettl15
ENSMUSG00000033544,0.4713506941539086,0.0,0.0,0.46623231447312613,0.47643751873606477,Angptl1
ENSMUSG00000022335,0.47134234557989935,0.0,0.0,0.4662239143920555,0.4764292219087603,Zfat
ENSMUSG00000020241,0.4713342352968677,0.0,0.0,0.4662157540729977,0.4764211618945744,Col6a2
ENSMUSG00000018451,0.47130255817828,0.0,0.0,0.46618388153219736,0.47638968110769897,6330403K07Rik
ENSMUSG00000057123,0.47089277993400425,0.0,0.0,0.4657715764851521,0.475982441453575,Gja5
ENSMUSG00000038179,0.4706357309648587,0.0,0.0,0.46551294361785733,0.47572698379750467,Slamf7
ENSMUSG00000030500,0.4706127073235876,0.0,0.0,0.46548977815096965,0.475704102646782,Slc17a6
