,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000041757,0.21668357983489847,0.0,0.0,0.210422686125328,0.22292669979186827,Plekha6
ENSMUSG00000027801,0.21666170166200688,0.0,0.0,0.2104007465697153,0.22290488461949748,Tm4sf4
ENSMUSG00000024694,0.21663764371059746,0.0,0.0,0.21037662112714703,0.2228808959382939,Keg1
ENSMUSG00000086892,0.21661524268520815,0.0,0.0,0.21035415726572507,0.22285855940551544,4933430M04Rik
ENSMUSG00000052736,0.2165971083395497,0.0,0.0,0.21033597205713345,0.22284047726388426,Klrc2
ENSMUSG00000027463,0.2165832142007321,0.0,0.0,0.21032203895118107,0.22282662311974327,Slc52a3
ENSMUSG00000031682,0.21656593904192,0.0,0.0,0.210304715346462,0.2228093976844536,1700011L22Rik
ENSMUSG00000022311,0.2165278632792432,0.0,0.0,0.21026653281920896,0.22277143150243245,Csmd3
ENSMUSG00000004085,0.21643566191270175,0.0,0.0,0.2101740729988325,0.22267949540960083,Zak
ENSMUSG00000066755,0.21638268562327503,0.0,0.0,0.21012094825983074,0.2226266714886856,Tnfsf18
ENSMUSG00000079038,0.21635842523621382,0.0,0.0,0.21009661990292403,0.22260248086624376,D130040H23Rik
ENSMUSG00000046814,0.21635074943711444,0.0,0.0,0.21008892260030537,0.22259482713853,Gchfr
ENSMUSG00000021023,0.21631046311516533,0.0,0.0,0.21004852343017125,0.22255465664531188,1110008L16Rik
ENSMUSG00000041135,0.21627925984506724,0.0,0.0,0.21001723276960893,0.22252354307434752,Ripk2
ENSMUSG00000040528,0.216272427391358,0.0,0.0,0.21001038118207557,0.22251673025999688,Milr1
ENSMUSG00000026251,0.21626180277347531,0.0,0.0,0.2099997268118916,0.22250613618054335,Chrnd
ENSMUSG00000041202,0.21621646358667898,0.0,0.0,0.20995426067770123,0.22246092729598177,Pla2g2d
ENSMUSG00000047749,0.21619543000907904,0.0,0.0,0.2099331682163613,0.2224399541585643,Zc3hav1l
ENSMUSG00000043131,0.2161924368936669,0.0,0.0,0.20993016672216225,0.22243696964342766,Mob1a
ENSMUSG00000096477,0.21618754886764668,0.0,0.0,0.20992526501308498,0.22243209566217728,Olfr92
ENSMUSG00000070780,0.2161649675050026,0.0,0.0,0.20990262044249197,0.22240957917853246,Rbm47
ENSMUSG00000059213,0.21612489071431326,0.0,0.0,0.20986243148858974,0.2223696175169309,Ddn
ENSMUSG00000031559,0.21611010796923413,0.0,0.0,0.20984760737627423,0.22235487723312758,4930555F03Rik
ENSMUSG00000026639,0.2160810885482039,0.0,0.0,0.20981850675723532,0.22232594115784232,Lamb3
ENSMUSG00000049972,0.21603527955066934,0.0,0.0,0.20977256960607296,0.2222802637044648,Skint9
ENSMUSG00000102897,0.2159768902767029,0.0,0.0,0.20971401702442313,0.22222204206017293,Gm37853
ENSMUSG00000108669,0.21591302376814153,0.0,0.0,0.20964997194045767,0.22215835885486884,4930441H08Rik
ENSMUSG00000005947,0.21589575850634543,0.0,0.0,0.20963265841296133,0.22214114313694855,Itgae
ENSMUSG00000098678,0.21583815686832258,0.0,0.0,0.2095748957757635,0.22208370676268452,Mroh6
ENSMUSG00000075225,0.21583358782761922,0.0,0.0,0.20957031396625667,0.22207915082907304,Ccdc162
ENSMUSG00000032625,0.21575634790840276,0.0,0.0,0.2094928582312451,0.22200213244479117,Thsd7a
ENSMUSG00000026126,0.2157486519576898,0.0,0.0,0.2094851407816086,0.2219944585628759,Ptpn18
ENSMUSG00000066442,0.21570973500760265,0.0,0.0,0.20944611512752914,0.2219556531986263,Mthfs
ENSMUSG00000021189,0.21561414398036594,0.0,0.0,0.20935025717727013,0.22186033617375436,Atxn3
ENSMUSG00000101448,0.21560259053219902,0.0,0.0,0.2093386714760574,0.22184881583433497,Gm28494
ENSMUSG00000029151,0.21557656257990374,0.0,0.0,0.20931257086958321,0.22182286246402333,Slc30a3
ENSMUSG00000002108,0.21550382081331254,0.0,0.0,0.20923962609964544,0.22175032908892173,Nr1h3
ENSMUSG00000076431,0.21550060655781403,0.0,0.0,0.20923640287560435,0.22174712404006638,Sox4
ENSMUSG00000029135,0.2154870654138248,0.0,0.0,0.20922282395007524,0.2217336216807093,Fosl2
ENSMUSG00000038227,0.2154002789335012,0.0,0.0,0.20913579538162627,0.2216470837179091,Hoxa9
ENSMUSG00000057400,0.21539561065383378,0.0,0.0,0.20913111408275376,0.22164242880331042,Ces1c
ENSMUSG00000028971,0.21536657180192384,0.0,0.0,0.20910199425183343,0.2216134730818967,Cort
ENSMUSG00000030443,0.215351364355862,0.0,0.0,0.20908674440205613,0.22159830916630602,Zfp583
ENSMUSG00000046997,0.2152533567296952,0.0,0.0,0.2089884635692061,0.2215005820090563,Spsb4
ENSMUSG00000021009,0.21525078881500082,0.0,0.0,0.20898588849787775,0.22149802144128933,Ptpn21
ENSMUSG00000087361,0.21519456265470377,0.0,0.0,0.20892950566020763,0.2214419561251466,0610043K17Rik
ENSMUSG00000063651,0.21518417091971526,0.0,0.0,0.2089190849726227,0.22143159411289862,Cnfn
ENSMUSG00000105651,0.21518297960306257,0.0,0.0,0.20891789033691255,0.22143040620359408,Gm43003
ENSMUSG00000023473,0.21513607049544528,0.0,0.0,0.20887085055344531,0.22138363124847354,Celsr3
ENSMUSG00000086784,0.21512727286087166,0.0,0.0,0.20886202841431406,0.22137485877051738,Isoc2a
ENSMUSG00000026734,0.21512424586049392,0.0,0.0,0.20885899298289384,0.22137184042553817,4921504E06Rik
ENSMUSG00000036395,0.21512039178534936,0.0,0.0,0.20885512817324703,0.22136799737055482,Glb1l2
ENSMUSG00000028017,0.21508852716062085,0.0,0.0,0.20882317480557067,0.22133622385060098,Egf
ENSMUSG00000038074,0.2150434592711838,0.0,0.0,0.20877798142494708,0.2212912847930044,Fkbp14
ENSMUSG00000020263,0.21502197892651226,0.0,0.0,0.20875644127784018,0.22126986584307654,Appl2
ENSMUSG00000055561,0.21501631202606605,0.0,0.0,0.20875075860145165,0.22126421513866074,Spink5
ENSMUSG00000030177,0.2149733896356229,0.0,0.0,0.2087077167341787,0.22122141540700543,Ccdc77
ENSMUSG00000030761,0.2148895393109871,0.0,0.0,0.20862363307758694,0.22113780463097701,Myo7a
ENSMUSG00000035953,0.2148395381226222,0.0,0.0,0.20857349279401535,0.22108794624527134,Tmem55b
ENSMUSG00000021565,0.2148182216608757,0.0,0.0,0.20855211704333984,0.22106669065309606,Slc6a19
ENSMUSG00000022938,0.21476530649190428,0.0,0.0,0.2084990547236753,0.22101392655876126,Fam3b
ENSMUSG00000044813,0.21471930911680212,0.0,0.0,0.2084529294654005,0.220968060478036,Shb
ENSMUSG00000027525,0.21469660114239852,0.0,0.0,0.20843015836793688,0.2209454173108215,Phactr3
ENSMUSG00000037033,0.2146852679352439,0.0,0.0,0.2084187936595575,0.2209341164454364,Clca3b
ENSMUSG00000029730,0.21468411392287168,0.0,0.0,0.20841763643964425,0.22093296572619514,Mcm7
ENSMUSG00000056716,0.2146754402196556,0.0,0.0,0.20840893862870472,0.22092431677401184,Gm5420
ENSMUSG00000061906,0.21460757228700902,0.0,0.0,0.2083408820978902,0.22085664247343492,Ugt2b38
ENSMUSG00000075102,0.21460661747340531,0.0,0.0,0.20833992463138828,0.22085569038355354,Olfr1221
ENSMUSG00000023046,0.21447713818242187,0.0,0.0,0.20821008570041558,0.22072658033772954,Igfbp6
ENSMUSG00000039683,0.21446850689225652,0.0,0.0,0.20820143044394404,0.22071797365423193,Sdk1
ENSMUSG00000038357,0.21442442823116464,0.0,0.0,0.20815722940594628,0.22067402064040173,Camp
ENSMUSG00000040928,0.21438092528135766,0.0,0.0,0.20811360570269657,0.22063064167189014,S100pbp
ENSMUSG00000023943,0.21437831977971875,0.0,0.0,0.2081109929696201,0.2206280435950197,Sult1c1
ENSMUSG00000074489,0.2143701436237571,0.0,0.0,0.20810279412173327,0.2206198907376673,Bglap3
ENSMUSG00000034488,0.21431665045567216,0.0,0.0,0.2080491525116059,0.22056654998108746,Edil3
ENSMUSG00000021606,0.21428917576267092,0.0,0.0,0.20802160159175576,0.22053915355381895,Ndufs6
ENSMUSG00000054580,0.21421217839410903,0.0,0.0,0.20794439065171202,0.22046237547112169,Pla2r1
ENSMUSG00000032191,0.21420996668378858,0.0,0.0,0.20794217280781324,0.22046017005853205,Bcl2l10
ENSMUSG00000020926,0.21420886479545667,0.0,0.0,0.20794106786371713,0.22045907130774633,Adam11
ENSMUSG00000032517,0.21418121741272242,0.0,0.0,0.20791334381430945,0.22043150264371447,Mobp
ENSMUSG00000003282,0.2141672358126799,0.0,0.0,0.20789932344688092,0.22041756084882494,Plag1
ENSMUSG00000056758,0.21415025075478686,0.0,0.0,0.20788229129724933,0.22040062414339429,Hmga2
ENSMUSG00000024067,0.2141296942025225,0.0,0.0,0.2078616777562221,0.22038012610575525,Dpy30
ENSMUSG00000061080,0.21411774516167106,0.0,0.0,0.20784969559170036,0.22036821107554352,Lsamp
ENSMUSG00000024411,0.21409341182928907,0.0,0.0,0.20782529481124495,0.22034394699753101,Aqp4
ENSMUSG00000075511,0.21408439939991136,0.0,0.0,0.207816257402846,0.22033496021619592,1700001L05Rik
ENSMUSG00000075111,0.2140779398823701,0.0,0.0,0.20780977998264105,0.2203285190808345,Gm13762
ENSMUSG00000036586,0.21406436399265608,0.0,0.0,0.20779616646890753,0.22031498182294826,Grifin
ENSMUSG00000053219,0.21405724906183837,0.0,0.0,0.20778903182084577,0.22030788713756072,Raet1e
ENSMUSG00000048794,0.21405355902361295,0.0,0.0,0.20778533155686868,0.22030420759902392,Cfap100
ENSMUSG00000029378,0.21403714112652497,0.0,0.0,0.2077688681650451,0.22028783641550348,Areg
ENSMUSG00000043461,0.21393222081193936,0.0,0.0,0.20766365719538446,0.22018321454577133,Sptssb
ENSMUSG00000021448,0.21386067007162396,0.0,0.0,0.20759190832509838,0.22011186724838813,Shc3
ENSMUSG00000024806,0.21384084129581857,0.0,0.0,0.20757202465369412,0.22009209484065667,Mlana
ENSMUSG00000000731,0.21377734817895946,0.0,0.0,0.2075083557921657,0.22002878218372635,Aire
ENSMUSG00000022243,0.21376936814515973,0.0,0.0,0.2075003536739273,0.22002082482702687,Slc45a2
ENSMUSG00000110634,0.21374906614855868,0.0,0.0,0.20747999549610857,0.22000058051946486,RP24-409P7.1
ENSMUSG00000097312,0.2137406103317794,0.0,0.0,0.2074715162813566,0.21999214872868192,Gm26870
ENSMUSG00000026536,0.21371570180769442,0.0,0.0,0.20744653883871647,0.21996731097318387,Ifi211
ENSMUSG00000020135,0.21363714386668906,0.0,0.0,0.20736776359193682,0.21988897617313832,Apc2
ENSMUSG00000021728,0.21363199215041556,0.0,0.0,0.2073625976279054,0.2198838390873096,Emb
ENSMUSG00000074749,0.21362690530034772,0.0,0.0,0.20735749670981884,0.2198787666831317,Kiz
ENSMUSG00000059832,0.21362626973482282,0.0,0.0,0.2073568593866196,0.2198781329224936,Kprp
ENSMUSG00000029352,0.2136206855401894,0.0,0.0,0.20735125974896762,0.21987256458569834,Crybb3
ENSMUSG00000032181,0.2135831326410295,0.0,0.0,0.2073136030084184,0.21983511831761884,Scg3
ENSMUSG00000056632,0.2135754914962048,0.0,0.0,0.20730594073655195,0.21982749886749242,Dsg3
ENSMUSG00000050359,0.2135659314301618,0.0,0.0,0.20729635423891507,0.21981796594326453,Sprr1a
ENSMUSG00000004360,0.2135599561640069,0.0,0.0,0.20729036245300372,0.21981200764077616,9330159F19Rik
ENSMUSG00000029338,0.21349080280746,0.0,0.0,0.2072210179431123,0.21974305057535065,Antxr2
ENSMUSG00000084787,0.21347702501640164,0.0,0.0,0.2072072020750831,0.21972931188495273,Gm12436
ENSMUSG00000024130,0.2134334847172129,0.0,0.0,0.2071635414622539,0.21968589513458534,Abca3
ENSMUSG00000034968,0.2134086204865538,0.0,0.0,0.20713860853619445,0.21966110144691073,Lbx2
ENSMUSG00000029369,0.21334570790313762,0.0,0.0,0.2070755221729949,0.2195983673184218,Afm
ENSMUSG00000020462,0.21332796115636157,0.0,0.0,0.20705772641483802,0.21958067090189715,Cfap36
ENSMUSG00000044948,0.2132900695651138,0.0,0.0,0.20701973019186407,0.21954288675845027,Cfap43
ENSMUSG00000109336,0.21326720108949554,0.0,0.0,0.20699679857766606,0.21952008312105634,Samd4b
ENSMUSG00000021003,0.21320700479775528,0.0,0.0,0.2069364361202753,0.2194600574691868,Galc
ENSMUSG00000022453,0.21319724965329317,0.0,0.0,0.20692665405223878,0.2194503299734089,Naga
ENSMUSG00000086653,0.21317049512101677,0.0,0.0,0.20689982568560011,0.21942365126424032,9130015L21Rik
ENSMUSG00000036123,0.21312955594272157,0.0,0.0,0.20685877354589446,0.21938282809064139,Slc9a3
ENSMUSG00000050440,0.21306934782919187,0.0,0.0,0.20679839934326888,0.21932279054221873,Hamp
ENSMUSG00000043987,0.2130007079067118,0.0,0.0,0.20672957013010446,0.21925434501376093,Cep164
ENSMUSG00000098087,0.21298449834609448,0.0,0.0,0.20671331587688213,0.21923818135099563,Gm17750
ENSMUSG00000025330,0.21295945206565114,0.0,0.0,0.20668820054625214,0.2192132059830889,Padi4
ENSMUSG00000042745,0.21294605135031255,0.0,0.0,0.20667476288982387,0.21919984320529656,Id1
ENSMUSG00000042751,0.21291828433164034,0.0,0.0,0.2066469193347136,0.21917215478783805,Nmnat2
ENSMUSG00000029361,0.2129141772880293,0.0,0.0,0.20664280097139454,0.21916805936934503,Nos1
ENSMUSG00000045658,0.21277930172908058,0.0,0.0,0.20650755379603428,0.21903356545751887,Pid1
ENSMUSG00000057137,0.21272825988097913,0.0,0.0,0.20645637137719142,0.2189826679766684,Tmem140
ENSMUSG00000032186,0.2126543422766466,0.0,0.0,0.2063822502624608,0.21890895938125726,Tmod2
ENSMUSG00000037971,0.2126406977667092,0.0,0.0,0.20636856819424568,0.21889535344464003,1110032A03Rik
ENSMUSG00000014603,0.21255722932370913,0.0,0.0,0.20628487004695967,0.21881212091575553,Alx3
ENSMUSG00000049214,0.2125556313790514,0.0,0.0,0.2062832677056703,0.21881052748661975,Skint7
ENSMUSG00000061991,0.2124755894098318,0.0,0.0,0.20620300554968168,0.21873071165981062,Hist1h2af
ENSMUSG00000004609,0.21245470692580948,0.0,0.0,0.20618206563409547,0.21870988816126,Cd33
ENSMUSG00000015652,0.2124470114796509,0.0,0.0,0.20617434902516452,0.21870221445051957,Steap1
ENSMUSG00000030352,0.21240890296711828,0.0,0.0,0.20613613572425749,0.21866421356224827,Tspan9
ENSMUSG00000043510,0.2123602012342807,0.0,0.0,0.20608730010232865,0.21861564934292685,Hscb
ENSMUSG00000000766,0.21234899980846317,0.0,0.0,0.20607606788636518,0.21860447954091178,Oprm1
ENSMUSG00000063142,0.21230875833264187,0.0,0.0,0.2060357158096092,0.21856435166107616,Kcnma1
ENSMUSG00000039714,0.21229697803720035,0.0,0.0,0.20602390314087093,0.21855260461573664,Cplx3
ENSMUSG00000041926,0.21228558108123216,0.0,0.0,0.20601247486679686,0.21854123982616214,Rnpep
