,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000026456,0.32194473251300554,0.0,0.0,0.31605222339793265,0.32781240463435113,Cyb5r1
ENSMUSG00000068859,0.3219372764721772,0.0,0.0,0.31604473608596834,0.32780498030685074,Sp9
ENSMUSG00000019945,0.32192936009962747,0.0,0.0,0.31603678651242384,0.3277970976047986,1700040L02Rik
ENSMUSG00000021550,0.321821266957775,0.0,0.0,0.31592824011442594,0.32768946413090283,2210016F16Rik
ENSMUSG00000020143,0.3218110915721346,0.0,0.0,0.3159180220693044,0.32767933200842164,Dock2
ENSMUSG00000028600,0.3217534658297915,0.0,0.0,0.3158601547614908,0.32762195125065297,Podn
ENSMUSG00000050103,0.32170927901692076,0.0,0.0,0.31581578274845745,0.32757795226005154,Agmo
ENSMUSG00000030966,0.3217043457909507,0.0,0.0,0.31581082884746,0.3275730400018735,Trim21
ENSMUSG00000021779,0.32166578793629474,0.0,0.0,0.3157721094088636,0.32753464601953114,Thrb
ENSMUSG00000032556,0.3216627722904448,0.0,0.0,0.31576908112621027,0.3275316431894708,Bfsp2
ENSMUSG00000029622,0.32161503852802087,0.0,0.0,0.31572114735557083,0.32748411226858315,Arpc1b
ENSMUSG00000020846,0.321597740246247,0.0,0.0,0.31570377660006316,0.3274668874874061,Rflnb
ENSMUSG00000024096,0.32159726164665303,0.0,0.0,0.3157032959953609,0.3274664109213318,Ralbp1
ENSMUSG00000102263,0.3215831068859925,0.0,0.0,0.3156890819342461,0.3274523163014207,Gm31415
ENSMUSG00000026611,0.32144269071731596,0.0,0.0,0.3155480776443909,0.32731249659150763,Spata17
ENSMUSG00000049350,0.321428708747336,0.0,0.0,0.31553403712637,0.32729857399996454,Zg16
ENSMUSG00000045871,0.3214061239101754,0.0,0.0,0.3155113577230113,0.3272760850703951,Slitrk6
