,Extra-Embryonic ectoderm_1_corr,Extra-Embryonic ectoderm_1_pval,Extra-Embryonic ectoderm_1_qval,Extra-Embryonic ectoderm_1_ci_low,Extra-Embryonic ectoderm_1_ci_high,gene_annotation
ENSMUSG00000098318,-0.03191319125937611,1.6030863076202275e-07,1.7883604502679915e-07,-0.0438360494421015,-0.019981243692084413,Lockd
ENSMUSG00000042444,-0.031979096283753325,1.5116276803283266e-07,1.6867079673380123e-07,-0.04390189483204919,-0.020047189618478217,Fam63b
ENSMUSG00000029518,-0.032017170286151225,1.461112627455902e-07,1.630706057428462e-07,-0.04393993433582438,-0.020085287297701725,Rab35
ENSMUSG00000028640,-0.03202500609985716,1.4509208765156065e-07,1.6195120845134575e-07,-0.04394776304525742,-0.020093127988512257,Tfap2c
ENSMUSG00000073542,-0.03205535677033739,1.4120899002549717e-07,1.5763450549843397e-07,-0.043978086184744136,-0.02012349756346617,Cep76
ENSMUSG00000051457,-0.03219475119804424,1.2462867939451054e-07,1.3918771431149267e-07,-0.044117353886079964,-0.020262979098350554,Spn
ENSMUSG00000030523,-0.03221226651339675,1.2268355868210912e-07,1.3703066981135835e-07,-0.044134853245123964,-0.020280505391820244,Trpm1
ENSMUSG00000031774,-0.03223307209815011,1.204111941266029e-07,1.3450758950692907e-07,-0.044155639866653426,-0.020301324026469905,Fam192a
ENSMUSG00000005882,-0.032243053964993336,1.1933549228185782e-07,1.333208493820331e-07,-0.04416561263187229,-0.02031131215791691,Uqcc1
ENSMUSG00000062345,-0.03230976595095614,1.1238128707098528e-07,1.2557971513128313e-07,-0.04423226372778083,-0.020378066073365658,Serpinb2
ENSMUSG00000035109,-0.03232956601067516,1.1039388327149017e-07,1.2337269028999795e-07,-0.044252045694959184,-0.020397878598192386,Shc4
ENSMUSG00000026979,-0.0324295151467262,1.0086963764579144e-07,1.1275389855331036e-07,-0.0443519033585786,-0.020497890800169533,Psd4
ENSMUSG00000028354,-0.03245353786649008,9.870189493040806e-08,1.1035542814222726e-07,-0.044375904057482554,-0.020521928713387916,Fmn2
