,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000038543,-0.2876370325028671,0.0,0.0,-0.2936429558448756,-0.2816084011803566,BC028528
ENSMUSG00000028833,-0.28765391682193403,0.0,0.0,-0.29365977590013087,-0.28162534867074596,Ncdn
ENSMUSG00000029207,-0.28773027280466434,0.0,0.0,-0.29373584121608654,-0.28170199038021415,Apbb2
ENSMUSG00000002108,-0.28773545278984936,0.0,0.0,-0.29374100147970045,-0.2817071897518698,Nr1h3
ENSMUSG00000027427,-0.2877432302251661,0.0,0.0,-0.29374874930361045,-0.28171499629546776,Polr3f
ENSMUSG00000058794,-0.2877602698336382,0.0,0.0,-0.2937657240335964,-0.28173209968015794,Nfe2
ENSMUSG00000029440,-0.2877666251655878,0.0,0.0,-0.2937720551665838,-0.2817384787999634,Psmd9
ENSMUSG00000017299,-0.2877675017639832,0.0,0.0,-0.29377292842714653,-0.28173935867948746,Dnttip1
ENSMUSG00000111820,-0.2877859542622448,0.0,0.0,-0.2937913106613167,-0.28175788024824305,RP23-101D11.3
ENSMUSG00000040247,-0.2878046083126997,0.0,0.0,-0.29380989367568755,-0.2817766041281987,Tbc1d10c
ENSMUSG00000040298,-0.28780677305373537,0.0,0.0,-0.29381205017292594,-0.281778776973015,Btbd16
ENSMUSG00000024399,-0.2878370060657354,0.0,0.0,-0.2938421680447557,-0.2818091231697698,Ltb
ENSMUSG00000108976,-0.28784621953730677,0.0,0.0,-0.29385134642513755,-0.2818183711366474,Gm29797
ENSMUSG00000038840,-0.2878508107270076,0.0,0.0,-0.29385592012804024,-0.2818229795162148,Birc7
ENSMUSG00000028681,-0.28785953119497304,0.0,0.0,-0.293864607380968,-0.2818317326352373,Ptch2
ENSMUSG00000030657,-0.28786120529875664,0.0,0.0,-0.2938662751082119,-0.28183341300729225,Xylt1
ENSMUSG00000053950,-0.287873040479812,0.0,0.0,-0.29387806520887955,-0.2818452925033372,Adnp2
ENSMUSG00000002664,-0.28795390528680476,0.0,0.0,-0.2939586219516765,-0.28192646014544004,Pspn
ENSMUSG00000026840,-0.28796953163656264,0.0,0.0,-0.29397418876114295,-0.28194214502513065,Lamc3
ENSMUSG00000040767,-0.28798084036190513,0.0,0.0,-0.2939854543954335,-0.2819534961103553,Snrnp25
ENSMUSG00000047415,-0.2880335803712239,0.0,0.0,-0.29403799342085907,-0.2820064336938939,Gpr68
ENSMUSG00000074210,-0.28805496692172394,0.0,0.0,-0.29405929846023315,-0.28202790037298436,E130208F15Rik
ENSMUSG00000074818,-0.28806313841917774,0.0,0.0,-0.29406743881186703,-0.28203610248802885,Pdzd7
ENSMUSG00000035891,-0.28808697200733524,0.0,0.0,-0.29409118155286873,-0.2820600253827268,Cerk
ENSMUSG00000036986,-0.2881378172250079,0.0,0.0,-0.2941418329376336,-0.2821110611469288,Pml
ENSMUSG00000032246,-0.28814191258815947,0.0,0.0,-0.29414591268691215,-0.28211517185926643,Calml4
ENSMUSG00000002550,-0.28820737903820076,0.0,0.0,-0.29421112951159806,-0.28218088370384836,Uck1
ENSMUSG00000031090,-0.28827617815106205,0.0,0.0,-0.2942796662313179,-0.282249940764348,Nadsyn1
ENSMUSG00000090439,-0.28828406916069876,0.0,0.0,-0.29428752714146217,-0.28225786136363906,Gm17455
ENSMUSG00000075302,-0.2882851942202689,0.0,0.0,-0.29428864790953535,-0.2822589906420168,Erich2
ENSMUSG00000005087,-0.2883002881503406,0.0,0.0,-0.2943036842627874,-0.28227414117371774,Cd44
ENSMUSG00000034532,-0.28831762348425627,0.0,0.0,-0.29432095346622966,-0.2822915415181454,Fbxo16
ENSMUSG00000037492,-0.2883714401623249,0.0,0.0,-0.2943745648205713,-0.28234556004336175,Zmat4
ENSMUSG00000028495,-0.28839018409916356,0.0,0.0,-0.294393237235857,-0.2823643742909887,Rps6
ENSMUSG00000027201,-0.2884113468502277,0.0,0.0,-0.2944143192303496,-0.2823856164316791,Myef2
ENSMUSG00000070501,-0.28841937302724696,0.0,0.0,-0.29442231477813385,-0.2823936727195238,Ifi214
