,NMP_2_corr,NMP_2_pval,NMP_2_qval,NMP_2_ci_low,NMP_2_ci_high,gene_annotation
ENSMUSG00000006538,0.02385017766521987,1.0251411107621915e-12,1.2829025205888845e-12,0.017292885529689748,0.03040541825175775,Ihh
ENSMUSG00000028469,0.023849606282939813,1.0264135506662155e-12,1.284363972068545e-12,0.017292313993172537,0.03040484707280817,Npr2
ENSMUSG00000046561,0.023845426990566496,1.035767873563074e-12,1.2960031001794205e-12,0.017288133572784355,0.0304006692675358,Arsj
ENSMUSG00000030654,0.02383153392078084,1.0674694160991339e-12,1.3355334847159567e-12,0.017274236754827654,0.03038678113961955,Arl6ip1
ENSMUSG00000027879,0.023830449804326435,1.069982848539326e-12,1.3386098801191098e-12,0.017273152345999174,0.030385697408687063,Sec22b
ENSMUSG00000072952,0.02382514915198498,1.0823558204827562e-12,1.3540201826399997e-12,0.017267850264353204,0.030380398641085084,Gm5878
ENSMUSG00000078235,0.02381655926123144,1.102705395514478e-12,1.3793368081654506e-12,0.017259258058145238,0.030371811803834834,Fam43b
ENSMUSG00000110336,0.0238038830771595,1.1334230045129067e-12,1.417615975894085e-12,0.017246578458904174,0.03035914012407946,4933400L20Rik
ENSMUSG00000100838,0.02379866746581622,1.1463041763721614e-12,1.433653921771143e-12,0.017241361443003214,0.03035392636542376,Gm29094
ENSMUSG00000031443,0.023795435651960795,1.1543578658822982e-12,1.4436529300704048e-12,0.01723812875900348,0.03035069569939308,F7
ENSMUSG00000018583,0.02379465787908278,1.15630435205901e-12,1.446013571626996e-12,0.017237350776735775,0.03034991820273174,G3bp1
ENSMUSG00000094719,0.023778391535185506,1.1977591901161094e-12,1.4977022478090513e-12,0.017221080055481536,0.030333657633812884,Gm5108
ENSMUSG00000037296,0.023768686214142756,1.2231842293621802e-12,1.5294163373039443e-12,0.017211372124341116,0.03032395575676079,Lsm1
ENSMUSG00000022351,0.023766221438929955,1.2297250691900965e-12,1.537516417923066e-12,0.01720890668646158,0.030321491855991395,Sqle
ENSMUSG00000042677,0.023764383237647683,1.2346254831027074e-12,1.5434861683964394e-12,0.017207067991021913,0.0303196543068072,Zc3h12a
ENSMUSG00000021000,0.023751288626261417,1.2700928162223165e-12,1.5876645193162424e-12,0.017193969860739105,0.03030656433942493,Mia2
ENSMUSG00000109945,0.023740913139996208,1.298903440663395e-12,1.6235962363897604e-12,0.017183591587882158,0.03029619253122935,Gm45601
ENSMUSG00000029571,0.02373632043837362,1.3118602791715096e-12,1.6397084749895078e-12,0.017178997653227876,0.030291601457250933,Tmem106b
