,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000041737,-0.14929926117865025,4.658119379308226e-202,1.0179456685551193e-201,-0.1587891887536422,-0.13978174917150296,Tmem45b
ENSMUSG00000052102,-0.1493970658066725,2.5243739404145244e-202,5.518963577644347e-202,-0.15888670081474515,-0.13987982912081076,Gnpda1
ENSMUSG00000063931,-0.1494115548225763,2.3052799899247643e-202,5.041067111140968e-202,-0.15890114647332754,-0.1398943589393635,Pepd
ENSMUSG00000090523,-0.1494264918147584,2.099279790105081e-202,4.591600590781017e-202,-0.15891603876339847,-0.13990933800003535,Gypc
ENSMUSG00000043190,-0.14954693795308527,9.865069056697578e-203,2.1596035588217113e-202,-0.15903612428335853,-0.14003012352160402,Rfesd
ENSMUSG00000018541,-0.14969358609670366,3.930114172123916e-203,8.613004979451931e-203,-0.1591823329801899,-0.14017718526068912,Cwc25
ENSMUSG00000030986,-0.1497827162552071,2.2453028477724657e-203,4.923909753886986e-203,-0.15927119584731206,-0.1402665670003797,Dhx32
ENSMUSG00000040548,-0.14982424554798254,1.7295714977722126e-203,3.7954169360812215e-203,-0.15931260054587115,-0.14030821356782672,Tex2
ENSMUSG00000097113,-0.14990835003211286,1.0193174140437382e-203,2.2392737566865955e-203,-0.1593964526014616,-0.1403925556579649,Gm19705
ENSMUSG00000028845,-0.15003584261557323,4.5704430112434594e-204,1.0053768172554904e-203,-0.1595235622716532,-0.14052040868775795,Tekt2
ENSMUSG00000085962,-0.15004657913328184,4.271774564095327e-204,9.400912332956264e-204,-0.1595342665287707,-0.14053117557417844,Gm16984
ENSMUSG00000027993,-0.15005471176508461,4.058588373017824e-204,8.93371862869871e-204,-0.15954237472253316,-0.1405393312109855,Trim2
ENSMUSG00000072664,-0.15006602669179547,3.77954637229661e-204,8.32132622698505e-204,-0.15955365564648086,-0.1405506781466959,Ugt3a1
ENSMUSG00000060508,-0.15011292817981364,2.8130881444061077e-204,6.197594501886115e-204,-0.159600416163267,-0.14059771234183122,Nlrp9b
ENSMUSG00000033427,-0.15020004347114602,1.6249727336734296e-204,3.583181331143174e-204,-0.1596872695002495,-0.1406850742386577,Upb1
ENSMUSG00000020912,-0.15029544277086243,8.905877115319923e-205,1.96510969005294e-204,-0.15978238176723578,-0.14078074376417046,Krt12
ENSMUSG00000059554,-0.1503217541821567,7.54422263994868e-205,1.665023756333851e-204,-0.15980861398305787,-0.14080712973580722,Ccdc28a
ENSMUSG00000028211,-0.1504693791464521,2.9719981515660687e-205,6.567951716168107e-205,-0.15995579435825683,-0.14095517328514856,Trp53inp1
ENSMUSG00000022097,-0.15068798322041457,7.467780346426308e-206,1.6525293973061091e-205,-0.16017373930686676,-0.1411743979843146,Sftpc
ENSMUSG00000034265,-0.15090338722100857,1.9107896797324234e-206,4.2349062050807255e-206,-0.16038849292616614,-0.1413904144376308,Zdhhc14
ENSMUSG00000021806,-0.1513416072306684,1.1860932108298752e-207,2.634006686275539e-207,-0.16082538702201452,-0.14182988322335657,Nid2
ENSMUSG00000029189,-0.1515564192902056,3.027297339253972e-208,6.728822714500938e-208,-0.16103954777141619,-0.14204530879273175,Sel1l3
ENSMUSG00000035239,-0.15157905355603038,2.6212795015156856e-208,5.828951526608151e-208,-0.1610621133581437,-0.1420680077551826,Neu3
ENSMUSG00000045659,-0.15172306359164311,1.0479987961943206e-208,2.3325145697625657e-208,-0.161205686192235,-0.14221242965599087,Plekha7
ENSMUSG00000071604,-0.15177824390558314,7.373852308858434e-209,1.6419176817765384e-208,-0.16126069887734365,-0.14226776789158949,Fam189a2
ENSMUSG00000039193,-0.15180258454005316,6.314412334996943e-209,1.406641197370671e-208,-0.16128496555018965,-0.14229217820591086,Nlrc4
ENSMUSG00000028082,-0.15181879965632986,5.694453494778714e-209,1.2688176236137953e-208,-0.16130113138873592,-0.14230843974756574,Sh3d19
ENSMUSG00000034663,-0.1519178919190335,3.0273998435294354e-209,6.748550698906454e-209,-0.161399922399537,-0.14240781583213416,Bmp2k
ENSMUSG00000050640,-0.15204971238316675,1.3054797435526941e-209,2.911417804533216e-209,-0.16153134181971845,-0.14254001415600837,Tmem150c
ENSMUSG00000034245,-0.152162505217722,6.352326475981118e-210,1.417930016960071e-209,-0.16164379123204514,-0.14265313057748513,Hdac11
ENSMUSG00000044156,-0.15253954334448427,5.693893603901385e-211,1.2735167980097036e-210,-0.16201967959743085,-0.1430312521771118,Hepacam2
ENSMUSG00000031618,-0.15259393469067914,4.018528125461197e-211,8.994019976412705e-211,-0.16207390485251394,-0.14308580005369592,Nr3c2
ENSMUSG00000038267,-0.15267459947595743,2.3961508240887917e-211,5.365317564014312e-211,-0.1621543232118706,-0.14316669708686158,Slc22a23
ENSMUSG00000034205,-0.15268677801406164,2.216158707469273e-211,4.9645132335781205e-211,-0.16216646453435443,-0.14317891070012503,Loxl2
ENSMUSG00000019768,-0.15272702076634248,1.7120536873218617e-211,3.836105057857634e-211,-0.16220658429095394,-0.14321926937533158,Esr1
ENSMUSG00000047040,-0.15300301688612483,2.910531616960934e-212,6.533179836051478e-212,-0.1624817360271903,-0.14349606137927196,Prr15l
ENSMUSG00000021009,-0.15300794276444754,2.819839320493981e-212,6.331026763569781e-212,-0.16248664682187286,-0.14350100147575534,Ptpn21
ENSMUSG00000034189,-0.1533233281369508,3.706944413770027e-213,8.337706733625792e-213,-0.1628010654684006,-0.14381729816962177,Hsdl1
ENSMUSG00000051022,-0.15347969815311224,1.3532964892516746e-213,3.046592726816017e-213,-0.16295695546205766,-0.1439741207447478,Hs3st1
ENSMUSG00000035615,-0.15363713431336434,4.901255840454245e-214,1.1043839207873468e-213,-0.16311390784892976,-0.14413201303188963,Frmpd1
ENSMUSG00000028494,-0.15366309286636265,4.1450875191695175e-214,9.342094927134364e-214,-0.1631397865898372,-0.14415804683895586,Plin2
ENSMUSG00000031488,-0.15373483379373548,2.6082139896518376e-214,5.879652817069066e-214,-0.1632113068749456,-0.14422999581232318,Rab11fip1
ENSMUSG00000034947,-0.1538537274824868,1.2097557344793795e-214,2.730209285667749e-214,-0.16332983468180617,-0.1443492345095902,Tmem106a
ENSMUSG00000004864,-0.15394469665251695,6.717849925705912e-215,1.5174723121088575e-214,-0.1634205237197716,-0.1444404678424972,Mapk13
ENSMUSG00000039004,-0.1539951217819106,4.84789292355189e-215,1.0960644186190119e-214,-0.16347079350014562,-0.14449103946965053,Bmp6
ENSMUSG00000002831,-0.15400711378916368,4.4859284647108597e-215,1.0144569119653687e-214,-0.16348274855535125,-0.1445030663240268,Plin4
ENSMUSG00000002900,-0.15416297048378658,1.6353120051406604e-215,3.7023137992770215e-215,-0.1636381247416376,-0.1446593761721709,Lamb1
ENSMUSG00000009090,-0.15447978250728564,2.0955984542380588e-216,4.751923932512605e-216,-0.16395395858036993,-0.1449771107890224,Ap1b1
ENSMUSG00000038572,-0.15476710530882032,3.2388221457734338e-217,7.364306834409808e-217,-0.16424039256814174,-0.14526527200261677,Bpifb5
ENSMUSG00000020696,-0.155016716650234,6.376755443555447e-218,1.451902423396049e-217,-0.16448923045687122,-0.1455156130220525,Rffl
ENSMUSG00000045319,-0.15543744772554233,4.0947313637657846e-219,9.344434878516167e-219,-0.16490865511424588,-0.14593757675593666,Proser2
ENSMUSG00000028776,-0.15545619430793964,3.622568340564559e-219,8.270703973891687e-219,-0.16492734340665444,-0.1459563783425404,Tinagl1
ENSMUSG00000028164,-0.15551110937819282,2.529942612494338e-219,5.777443737141672e-219,-0.16498208768670822,-0.1460114545781836,Manba
ENSMUSG00000009487,-0.15563515149845178,1.1239185902665058e-219,2.5695441021182117e-219,-0.1651057438114115,-0.14613586095544293,Otog
ENSMUSG00000032327,-0.15583860855843826,2.9655935343637024e-220,6.794028715609856e-220,-0.16530856710691383,-0.14633991612965838,Stra6
ENSMUSG00000029802,-0.15585766582427876,2.6174136646755527e-220,5.997739836561761e-220,-0.16532756496874124,-0.14635902946062465,Abcg2
ENSMUSG00000032087,-0.15604148240959628,7.840538838432869e-221,1.798701270574184e-220,-0.16551080821268863,-0.14654338718541793,Dscaml1
ENSMUSG00000056185,-0.15627133201794277,1.7329615423068627e-221,3.9838196374870407e-221,-0.16573993997835618,-0.14677391437866863,Snx32
ENSMUSG00000037681,-0.156475545945884,4.523617666037441e-222,1.0411087838981452e-221,-0.16594351526870552,-0.14697873118432542,Esyt3
ENSMUSG00000025176,-0.15653731222213996,3.012319601271557e-222,6.939229673511994e-222,-0.1660050882245239,-0.14704067996659054,Hoga1
ENSMUSG00000019779,-0.15659605220298992,2.0459701332225395e-222,4.716390348599676e-222,-0.1660636442883622,-0.1470995935805147,Frk
ENSMUSG00000030325,-0.1567001589600311,1.0303373751092879e-222,2.3767874858345742e-222,-0.16616742491934125,-0.14720400823857002,Klrb1c
ENSMUSG00000002109,-0.1571068137966127,7.03467451782106e-224,1.626514339380592e-223,-0.1665728038545946,-0.14761186780548072,Ddb2
ENSMUSG00000064310,-0.15711074391965404,6.854283016078283e-224,1.5851718353557546e-223,-0.16657672163105222,-0.14761580958741594,Zpld1
