,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000045409,0.37084510419001543,0.0,0.0,0.3605017467665161,0.3810972702427568,Trim39
ENSMUSG00000026173,0.37080507372627375,0.0,0.0,0.3604613652231677,0.3810575975638534,Plcd4
ENSMUSG00000034488,0.3707941199928489,0.0,0.0,0.36045031542885303,0.3810467417262811,Edil3
ENSMUSG00000036225,0.370692394612054,0.0,0.0,0.3603476980862697,0.3809459253518826,Kctd1
ENSMUSG00000021713,0.37067926343593843,0.0,0.0,0.36033445178990425,0.3809329114966909,Ppwd1
ENSMUSG00000045515,0.37063930957846053,0.0,0.0,0.3602941476849628,0.38089331458327713,Pou3f3
ENSMUSG00000037161,0.3706223444555264,0.0,0.0,0.3602770338523694,0.3808765010138049,Mgarp
ENSMUSG00000066952,0.3705811199259886,0.0,0.0,0.3602354479936842,0.38083564472449444,Myo1h
ENSMUSG00000022561,0.37045315260604894,0.0,0.0,0.36010635931407686,0.38070882022414615,Gpaa1
ENSMUSG00000040354,0.37044794188300706,0.0,0.0,0.3601011029385954,0.38070365602759404,Mars
ENSMUSG00000001098,0.3704204830346802,0.0,0.0,0.36007340352732653,0.38067644234845904,Kctd10
ENSMUSG00000078616,0.37041022086367736,0.0,0.0,0.36006305145563194,0.3806662717997602,Trim30c
ENSMUSG00000111061,0.3703779725077709,0.0,0.0,0.3600305206079108,0.3806343113461826,RP24-260O23.1
ENSMUSG00000100832,0.3703595480311363,0.0,0.0,0.3600119347463169,0.3806160513459961,Gm29260
ENSMUSG00000002233,0.3703304846216628,0.0,0.0,0.35998261677929905,0.38058724737112587,Rhoc
ENSMUSG00000045333,0.37021127692065037,0.0,0.0,0.3598623651881968,0.38046910356975083,Zfp423
ENSMUSG00000038170,0.37013569963380516,0.0,0.0,0.3597861262565911,0.380394200618314,Pde4dip
ENSMUSG00000015396,0.37005978919997157,0.0,0.0,0.3597095514005624,0.3803189673569047,Cd83
ENSMUSG00000030041,0.3700354882197972,0.0,0.0,0.3596850377503579,0.3802948831292239,M1ap
ENSMUSG00000070990,0.3700163573146956,0.0,0.0,0.3596657394311904,0.38027592285236356,Foxe1
ENSMUSG00000062997,0.3700016473789289,0.0,0.0,0.3596509007751705,0.3802613441084177,Rpl35
ENSMUSG00000021608,0.36998776250913,0.0,0.0,0.35963689440971514,0.3802475830673408,Lpcat1
ENSMUSG00000036908,0.3699543867838345,0.0,0.0,0.35960322665858424,0.38021450497648096,Unc93b1
ENSMUSG00000056054,0.36989784606958703,0.0,0.0,0.3595461912945135,0.38015846841500955,S100a8
ENSMUSG00000048330,0.3698953613974215,0.0,0.0,0.359543684886819,0.38015600589602505,Ric3
ENSMUSG00000037188,0.3698290822109659,0.0,0.0,0.35947682595539554,0.3800903175969414,Grhl3
ENSMUSG00000067028,0.3697798634159595,0.0,0.0,0.3594271767116729,0.38004153752677694,Cntnap5b
ENSMUSG00000032401,0.3696310586800572,0.0,0.0,0.35927707094305644,0.3798940588543789,Lctl
ENSMUSG00000040310,0.3695903436306908,0.0,0.0,0.3592360000063561,0.3798537065435591,Alx4
ENSMUSG00000059089,0.36957236898442647,0.0,0.0,0.3592178682577563,0.3798358920245976,Fcgr4
ENSMUSG00000017774,0.3694915591635581,0.0,0.0,0.35913635223796797,0.379755802004721,Myo1c
ENSMUSG00000027547,0.3694511234120735,0.0,0.0,0.3590955631768114,0.3797157263706848,Sall4
ENSMUSG00000036292,0.3694258948339802,0.0,0.0,0.35907011418262663,0.37969072245669805,Gramd1c
ENSMUSG00000010051,0.369423556280137,0.0,0.0,0.3590677551981742,0.37968840472725285,Hyal1
ENSMUSG00000009772,0.36939295438502556,0.0,0.0,0.35903688596397726,0.379658075324592,Nuak2
ENSMUSG00000033910,0.3693489949344254,0.0,0.0,0.3589925425219317,0.3796145072692528,Gucy1a3
ENSMUSG00000026924,0.36933663487691015,0.0,0.0,0.358980074506148,0.37960225725195307,Sec16a
ENSMUSG00000079502,0.36930064146380015,0.0,0.0,0.35894376673152956,0.3795665842636873,Cfap77
ENSMUSG00000022783,0.36928043489495155,0.0,0.0,0.35892338369503174,0.3795465575667808,Spag6l
ENSMUSG00000038539,0.36925462690843797,0.0,0.0,0.35889735033703335,0.3795209793001164,Atf5
ENSMUSG00000024593,0.3691817253505799,0.0,0.0,0.3588238122442137,0.37944872656261025,Megf10
ENSMUSG00000062044,0.3691175710825421,0.0,0.0,0.3587590979239431,0.37938514316087607,Lmtk3
ENSMUSG00000068744,0.3689560712001618,0.0,0.0,0.35859618862501513,0.37922507992953974,Psrc1
ENSMUSG00000053825,0.3689417018471782,0.0,0.0,0.3585816939006295,0.3792108383719285,Ppfia2
ENSMUSG00000006360,0.3689388734519207,0.0,0.0,0.3585788408284485,0.3792080351307326,Crip1
ENSMUSG00000021496,0.36884935828022464,0.0,0.0,0.35848854476298997,0.37911931595623205,Pcbd2
ENSMUSG00000043740,0.36875663774345835,0.0,0.0,0.35839501557456926,0.37902741972070825,B430306N03Rik
ENSMUSG00000060923,0.3687403749870111,0.0,0.0,0.3583786110057748,0.3790113015220331,Acyp2
ENSMUSG00000040046,0.3687085887136577,0.0,0.0,0.3583465475724219,0.3789797977752147,Tph1
ENSMUSG00000048285,0.3686784415850575,0.0,0.0,0.35831613759891,0.3789499185819106,Frmd6
ENSMUSG00000048794,0.3686534697495706,0.0,0.0,0.35829094805718587,0.3789251686696239,Cfap100
ENSMUSG00000054256,0.36863161344244494,0.0,0.0,0.3582689012176018,0.3789035065861269,Msi1
ENSMUSG00000056305,0.3685829049667799,0.0,0.0,0.35821976816715323,0.3788552309123884,Usp39
ENSMUSG00000027420,0.3684102347341636,0.0,0.0,0.3580455932907876,0.37868409450056945,Bfsp1
ENSMUSG00000022044,0.3684062837891071,0.0,0.0,0.35804160792574385,0.37868017864333325,Stmn4
ENSMUSG00000030144,0.3684008432109769,0.0,0.0,0.35803611995080475,0.3786747863816555,Clec4d
ENSMUSG00000032816,0.368389981533589,0.0,0.0,0.35802516365163556,0.37866402116209935,Igdcc4
ENSMUSG00000025647,0.36835796780458463,0.0,0.0,0.35799287105081357,0.3786322917169237,Shisa5
ENSMUSG00000091119,0.3682609576106932,0.0,0.0,0.35789501595185413,0.37853614283188974,Ccdc152
ENSMUSG00000026443,0.3682017627995859,0.0,0.0,0.35783530569857475,0.3784774734753223,Lrrn2
ENSMUSG00000036009,0.3681895352940997,0.0,0.0,0.3578229717319559,0.3784653544994366,Mettl25
ENSMUSG00000044522,0.36818820430636345,0.0,0.0,0.35782162915593674,0.37846403532514566,A730020M07Rik
ENSMUSG00000022488,0.3681700682859174,0.0,0.0,0.35780333523797936,0.37844606027038225,Nckap1l
ENSMUSG00000050050,0.3680763275098943,0.0,0.0,0.3577087784541389,0.378353151364126,Ccdc158
ENSMUSG00000097173,0.3680362680565489,0.0,0.0,0.3576683703504991,0.37831344734125366,Gm26829
ENSMUSG00000106515,0.36801817755043276,0.0,0.0,0.3576501224096206,0.37829551733210165,Gm30382
ENSMUSG00000097408,0.36800067576501644,0.0,0.0,0.3576324683203885,0.37827817081324544,Gm26831
ENSMUSG00000052560,0.3679913646576493,0.0,0.0,0.3576230761890406,0.3782689423061444,Cpne8
ENSMUSG00000022987,0.3679274799100068,0.0,0.0,0.35755863558164047,0.378205624234834,Zfp641
ENSMUSG00000098145,0.3678801778366973,0.0,0.0,0.3575109219976714,0.3781587416827366,Gm26936
ENSMUSG00000047246,0.36783100036519417,0.0,0.0,0.3574613167576271,0.37811000030941666,Hist1h2be
ENSMUSG00000111303,0.367774035482353,0.0,0.0,0.3574038564408558,0.37805354051107526,RP24-185I21.1
ENSMUSG00000002983,0.3677443882328074,0.0,0.0,0.357373951374859,0.3780241561014067,Relb
ENSMUSG00000078607,0.36767821616709634,0.0,0.0,0.3573072039447039,0.3779585706143192,1810010H24Rik
ENSMUSG00000061132,0.36760528988257474,0.0,0.0,0.35723364369068145,0.37788629066130514,Blnk
ENSMUSG00000040113,0.3675878761612029,0.0,0.0,0.357216078605771,0.37786903125583154,Mettl11b
ENSMUSG00000049130,0.3675565772055849,0.0,0.0,0.3571845076118322,0.37783800964550535,C5ar1
ENSMUSG00000071176,0.367484528782967,0.0,0.0,0.3571118330624822,0.3777665995683072,Arhgef10
ENSMUSG00000032064,0.36747599816443693,0.0,0.0,0.35710322831812075,0.37775814452253165,Dixdc1
ENSMUSG00000044702,0.3674754188411876,0.0,0.0,0.35710264396097235,0.3777575703314452,Palb2
ENSMUSG00000027790,0.3674441460412689,0.0,0.0,0.3570710994351407,0.37772657456218617,Sis
ENSMUSG00000015224,0.3674301587563147,0.0,0.0,0.35705699062386637,0.3777127111763881,Cyp2j9
ENSMUSG00000073209,0.3673773853467948,0.0,0.0,0.3570037587435159,0.37766040519141175,Klf14
ENSMUSG00000022584,0.3672466348948712,0.0,0.0,0.35687187268275533,0.37753081253942256,Ly6c2
ENSMUSG00000101755,0.3672338497746216,0.0,0.0,0.35685897654190957,0.37751814061024896,Gm29507
ENSMUSG00000040729,0.36717042791687904,0.0,0.0,0.3567950040139461,0.37745528019112584,Cep126
ENSMUSG00000055403,0.36704864390196784,0.0,0.0,0.3566721628630684,0.377334573996974,4933427D06Rik
ENSMUSG00000101448,0.3670304457085853,0.0,0.0,0.3566538067326028,0.3773165368324042,Gm28494
ENSMUSG00000032264,0.3670117844758604,0.0,0.0,0.3566349835525249,0.3772980407176448,Zw10
ENSMUSG00000074166,0.36700081896626846,0.0,0.0,0.35662392288512923,0.37728717222903907,AW146154
ENSMUSG00000071716,0.36679722785310825,0.0,0.0,0.3564185655531682,0.3770853819411637,Apol7e
ENSMUSG00000018861,0.3667801469461763,0.0,0.0,0.3564013365094338,0.3770684520756349,Fdxr
ENSMUSG00000026814,0.36671147028713535,0.0,0.0,0.3563320643127049,0.37700038263456526,Eng
ENSMUSG00000040270,0.3667026996768812,0.0,0.0,0.3563232176552937,0.3769916895633556,Bach2
ENSMUSG00000032899,0.36668688113499154,0.0,0.0,0.3563072619605902,0.37697601086514765,Styk1
ENSMUSG00000030598,0.3666223722121854,0.0,0.0,0.35624219378340777,0.37691207217185674,Fbxo17
ENSMUSG00000072812,0.3665605810561173,0.0,0.0,0.35617986702880067,0.37685082712953,Ahnak2
ENSMUSG00000043051,0.36654807082541985,0.0,0.0,0.3561672483721252,0.37683842745400875,Disc1
ENSMUSG00000087461,0.36646784773407054,0.0,0.0,0.3560863300784568,0.3767589132210043,C230014O12Rik
ENSMUSG00000030650,0.3664595332165484,0.0,0.0,0.3560779435173693,0.37675067216262215,Tmc5
ENSMUSG00000085987,0.3664437913869182,0.0,0.0,0.3560620652926394,0.3767350694083099,Gm13403
ENSMUSG00000033533,0.3664139755655206,0.0,0.0,0.3560319911484558,0.37670551698659305,Acsm1
ENSMUSG00000019539,0.3664022601341928,0.0,0.0,0.356020174221102,0.376693905046291,Rcn3
