,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000043091,0.015207281414685699,5.523802659090552e-06,6.7375628638278715e-06,0.008648146421004123,0.02176510786381477,Tuba1c
ENSMUSG00000009551,0.015204261657930476,5.54751150558021e-06,6.766145180576518e-06,0.008645126191695166,0.021762088839334837,6330409D20Rik
ENSMUSG00000086087,0.015201754889449474,5.567266722577524e-06,6.789902765522e-06,0.00864261903102751,0.02175958267864129,Gm12916
ENSMUSG00000046861,0.015197431035431693,5.6015002961409555e-06,6.831315083988314e-06,0.008638294500731862,0.021755259872785215,Hectd3
ENSMUSG00000053821,0.015197124322843421,5.603936293253483e-06,6.833946449707421e-06,0.008637987740181137,0.021754953234538982,Gm9922
ENSMUSG00000108505,0.015192531180158465,5.640537840396907e-06,6.878240044572607e-06,0.008633393879387111,0.021750361205007944,1700095K22Rik
ENSMUSG00000091198,0.015191937322754718,5.645286806243461e-06,6.883689181370223e-06,0.008632799929157695,0.02174976749150609,Gm5218
ENSMUSG00000020654,0.015190978710719085,5.652960722447735e-06,6.8927041943552234e-06,0.008631841167291474,0.021748809111748924,Adcy3
ENSMUSG00000095075,0.015186421823020158,5.6895764403694645e-06,6.936661076767856e-06,0.00862728356751815,0.02174425332805126,Olfr782
ENSMUSG00000061984,0.015186160850917126,5.691680273896248e-06,6.938881477963189e-06,0.008627022554643003,0.021743992419165924,Olfr392
ENSMUSG00000055826,0.015176603558998249,5.7692416507223114e-06,7.032740231792572e-06,0.008617463770187832,0.021734437441783407,Tescl
ENSMUSG00000095653,0.015176293817534853,5.771772177971341e-06,7.0354756485727505e-06,0.008617153980373009,0.021734127775311585,Gm21818
ENSMUSG00000032394,0.0151616031331626,5.8930198413611524e-06,7.182200205763168e-06,0.008602461004193632,0.021719440646258897,Igdcc3
ENSMUSG00000040998,0.015155557584725034,5.943620717696727e-06,7.24315162857448e-06,0.008596414513448253,0.02171339656009354,Npnt
ENSMUSG00000068181,0.015154326031808796,5.95397959889539e-06,7.255415282513382e-06,0.008595182768631077,0.021712165305001446,Gm10234
ENSMUSG00000085616,0.015153741035755466,5.958906188997177e-06,7.2610583528839495e-06,0.008594597681430463,0.021711580450409655,Gm13850
ENSMUSG00000058250,0.015148528334341289,6.0029779604983455e-06,7.314397761099523e-06,0.00858938416803205,0.02170636900931306,Tas2r138
ENSMUSG00000064252,0.015119864562939605,6.250949642125165e-06,7.614652225921958e-06,0.008560715938036732,0.021677712161818765,Olfr329-ps
ENSMUSG00000110364,0.015119365022799697,6.255356882780462e-06,7.61964289472246e-06,0.008560216320289927,0.021677212742250263,Gm45462
ENSMUSG00000047039,0.01510582523178959,6.375951739241845e-06,7.765383555824484e-06,0.008546674427030061,0.021663676218022593,Olfr1151
ENSMUSG00000024989,0.015096973444405009,6.455991020046032e-06,7.861304940939848e-06,0.008537821266577122,0.021654826565033192,Cep55
ENSMUSG00000075524,0.0150959909509206,6.464933921893572e-06,7.871804088986856e-06,0.008536838620754043,0.021653844308390045,4930407I10Rik
ENSMUSG00000035125,0.015088228174670724,6.536010598164701e-06,7.957953493981638e-06,0.00852907464130703,0.021646083403000747,Gcfc2
ENSMUSG00000062598,0.015078077014118256,6.6300841359917816e-06,8.071292428940412e-06,0.008518921908561282,0.021635934687726652,Vmn1r178
ENSMUSG00000095721,0.015064887534895382,6.754250754210191e-06,8.222041971211691e-06,0.008505730388595877,0.021622748383653537,Gm7137
ENSMUSG00000111439,0.015060822477274784,6.792965789979382e-06,8.2687603408812e-06,0.00850166470246937,0.0216186843041686,RP23-356D13.5
ENSMUSG00000021348,0.015055324499558567,6.845665571698446e-06,8.332496213194201e-06,0.008496165875045867,0.021613187649033014,Prl7d1
ENSMUSG00000060208,0.015050320804142257,6.893967232779314e-06,8.389624956589724e-06,0.00849116140665793,0.021608185156949355,Defa17
ENSMUSG00000103308,0.015049761865937327,6.899382969851642e-06,8.395799498205666e-06,0.008490602382128546,0.021607626353142412,Gm37800
ENSMUSG00000075600,0.01504494062023552,6.946266852059789e-06,8.451595408680903e-06,0.008485780391986155,0.021602806266550163,Zc3h3
ENSMUSG00000059256,0.0150160559833596,7.233599215062286e-06,8.800323469015867e-06,0.008456891301469484,0.021573928567648275,Gzmd
ENSMUSG00000060105,0.015011966016208834,7.275191850502009e-06,8.85004758031637e-06,0.00845280070458315,0.02156983958200681,Olfr504
ENSMUSG00000090097,0.015010610034176877,7.2890318249416595e-06,8.866444181825586e-06,0.008451444513817992,0.021568483925334662,Gm13757
ENSMUSG00000095525,0.01500816565017671,7.31404431588571e-06,8.896428835453355e-06,0.008448999753602335,0.021566040127788948,Olfr834
ENSMUSG00000104096,0.01499966685240545,7.401649759627941e-06,9.001649737387816e-06,0.008440499648390156,0.021557543368431846,Gm20356
ENSMUSG00000058793,0.014999362411894505,7.404806467349382e-06,9.005042765187084e-06,0.008440195161062177,0.021557239000922577,Cds2
ENSMUSG00000079091,0.014981957217230007,7.587435150726544e-06,9.226028199353244e-06,0.008422787291839427,0.02153983797782181,Gm3404
ENSMUSG00000049692,0.014975127120442383,7.660271845066278e-06,9.312948469426455e-06,0.008415956146595436,0.021533009516941804,Tmem239
