,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000055723,0.47758092216718523,0.0,0.0,0.4725012376283498,0.4826288775215448,Rras2
ENSMUSG00000046152,0.47750705104008884,0.0,0.0,0.4724269046859207,0.48255547021806555,Fut10
ENSMUSG00000029406,0.4774908745695852,0.0,0.0,0.4724106270956715,0.482539395307266,Pitpnm2
ENSMUSG00000038782,0.47746229253295397,0.0,0.0,0.47238186640009,0.48251099270710057,1700028J19Rik
ENSMUSG00000032562,0.47743399381948065,0.0,0.0,0.47235339080930533,0.4824828716409456,Gnai2
ENSMUSG00000028854,0.47737212980849486,0.0,0.0,0.4722911401625546,0.48242139594972944,Slc9a1
ENSMUSG00000059995,0.4772777027483743,0.0,0.0,0.47219612305286535,0.4823275615114026,Atxn7l3
ENSMUSG00000086815,0.47720252897080917,0.0,0.0,0.47212047961879405,0.48225285943967383,3110082J24Rik
ENSMUSG00000063882,0.47708882999565866,0.0,0.0,0.4720060704388949,0.4821398737714927,Uqcrh
ENSMUSG00000079659,0.47696440547070357,0.0,0.0,0.4718808689097343,0.48201622964925483,Tmem243
ENSMUSG00000027845,0.4769631281114595,0.0,0.0,0.4718795835747217,0.48201496030068874,Dclre1b
ENSMUSG00000031770,0.47693084010936043,0.0,0.0,0.47184709397509517,0.48198287477865975,Herpud1
ENSMUSG00000074575,0.47690636064007097,0.0,0.0,0.471822461671841,0.48195854881261474,Kcng1
ENSMUSG00000033847,0.4768474748962833,0.0,0.0,0.47176320831608193,0.4819000322913656,Pla2g4c
ENSMUSG00000053347,0.4765978926373562,0.0,0.0,0.4715120684746052,0.4816520144507183,Zfp943
ENSMUSG00000001420,0.4764309583845544,0.0,0.0,0.4713440928858904,0.4814861261144961,Tmem79
ENSMUSG00000020650,0.47627097849605216,0.0,0.0,0.4711831153891095,0.48132714823054545,Bcap29
ENSMUSG00000021190,0.4762123991507224,0.0,0.0,0.4711241708373913,0.48126893570294843,Lgmn
ENSMUSG00000038034,0.4761913842611485,0.0,0.0,0.4711030249439102,0.48124805239554486,Igsf8
ENSMUSG00000021585,0.4761909588148965,0.0,0.0,0.4711025968455456,0.48124762961311335,Cast
ENSMUSG00000001864,0.4761522706160328,0.0,0.0,0.4710636674853282,0.481209183640468,Aif1l
ENSMUSG00000029338,0.476118905844548,0.0,0.0,0.47103009475178154,0.48117602774968155,Antxr2
ENSMUSG00000000168,0.47598066250616067,0.0,0.0,0.4708909899020693,0.481038649731807,Dlat
ENSMUSG00000032477,0.4759251521850518,0.0,0.0,0.47083513372035285,0.4809834868021715,Cdc25a
ENSMUSG00000033192,0.47589358222584666,0.0,0.0,0.4708033670807002,0.4809521143943891,Lpcat2
ENSMUSG00000000142,0.4758246080208378,0.0,0.0,0.47073396321318456,0.4808835717556505,Axin2
ENSMUSG00000030525,0.47579360193118003,0.0,0.0,0.47070276399714867,0.48085275964855356,Chrna7
ENSMUSG00000059810,0.4756942606320064,0.0,0.0,0.4706028040205793,0.480754039771515,Rgs3
ENSMUSG00000026196,0.4756403055646383,0.0,0.0,0.4705485129867986,0.480700422162321,Bard1
ENSMUSG00000022771,0.4755903633901736,0.0,0.0,0.4704982598676863,0.4806507923139531,Ppil2
ENSMUSG00000026656,0.4755719531125886,0.0,0.0,0.47047973497432416,0.48063249716154594,Fcgr2b
ENSMUSG00000051978,0.4755486090764556,0.0,0.0,0.47045624561305915,0.4806092990965794,Erich1
ENSMUSG00000027408,0.4754459136294289,0.0,0.0,0.4703529109351565,0.4805072457240627,Cpxm1
ENSMUSG00000028696,0.4753864884549754,0.0,0.0,0.4702931159307222,0.48044819202625416,Ipp
ENSMUSG00000026489,0.47535686717416015,0.0,0.0,0.4702633103206233,0.48041875589584837,Coq8a
