,Spinal cord_corr,Spinal cord_pval,Spinal cord_qval,Spinal cord_ci_low,Spinal cord_ci_high,gene_annotation
ENSMUSG00000107623,-0.0386471309614229,7.179679755809463e-31,1.764482613863225e-30,-0.04519567045538712,-0.0320952701872834,Gm10415
ENSMUSG00000031621,-0.03866417390359121,6.765896646341859e-31,1.6631997655707617e-30,-0.04521270402426287,-0.0321123210424822,Isx
ENSMUSG00000101061,-0.038668880380401595,6.655860425940773e-31,1.636552846309509e-30,-0.04521740791192998,-0.03211702970517966,Platr1
ENSMUSG00000059043,-0.03866943002084475,6.643126380090569e-31,1.6338235071545915e-30,-0.04521795724998409,-0.03211757960091807,Olfr15
ENSMUSG00000070547,-0.03867049346156863,6.618557253218227e-31,1.628181366105345e-30,-0.0452190201056364,-0.0321186435355968,Mrgprb1
ENSMUSG00000035245,-0.038671012415619335,6.606600405233265e-31,1.6256398634924375e-30,-0.045219538774169565,-0.03211916273070053,Eogt
ENSMUSG00000000673,-0.03867535923611926,6.507286755069354e-31,1.6015965432117536e-30,-0.045223883203002135,-0.032123511570427934,Haao
ENSMUSG00000072553,-0.03868723120973488,6.243530246513324e-31,1.537058160146067e-30,-0.04523574864326819,-0.03213538906019263,Gm525
ENSMUSG00000044737,-0.03869057113498416,6.17125993525024e-31,1.5196404666954541e-30,-0.04523908673016661,-0.03213873053762572,Klk14
ENSMUSG00000032035,-0.03869183075646224,6.144220043587257e-31,1.5133546905387331e-30,-0.04524034565828993,-0.032139990744533393,Ets1
ENSMUSG00000108669,-0.038692486025381105,6.130200132940941e-31,1.5102734991231685e-30,-0.04524100056650982,-0.03214064631800741,4930441H08Rik
ENSMUSG00000022780,-0.0387073031199566,5.821520695718903e-31,1.4345787815965755e-30,-0.045255809503372636,-0.03215547030076019,Mfi2
ENSMUSG00000029366,-0.03871038659793265,5.7592499156977455e-31,1.4195834152570238e-30,-0.04525889128334453,-0.03215855521254715,Dck
ENSMUSG00000061039,-0.03871531115879105,5.661166987499733e-31,1.3957512296596974e-30,-0.045263813132096056,-0.03216348206357511,Olfr920
ENSMUSG00000073658,-0.038724729334340784,5.478179387982806e-31,1.3509690229304083e-30,-0.04527322611988188,-0.03217290461993899,Crygb
ENSMUSG00000055561,-0.03872856218432265,5.405402251945106e-31,1.3333503334842393e-30,-0.045277056858302314,-0.032176739253084,Spink5
ENSMUSG00000032221,-0.03873862125146811,5.2189361656018686e-31,1.2876723823345345e-30,-0.045287110382875286,-0.032186803000943294,Mns1
ENSMUSG00000110594,-0.03874225409217006,5.153175150293516e-31,1.2717608959263366e-30,-0.04529074122154641,-0.032190437532415586,RP23-132B15.4
ENSMUSG00000026579,-0.038754042149398156,4.945402917215345e-31,1.2210871400531715e-30,-0.04530252278127445,-0.03220223107714902,F5
ENSMUSG00000018411,-0.03875459052541923,4.935942524779668e-31,1.2190522412397303e-30,-0.0453030708549899,-0.0322027797084912,Mapt
ENSMUSG00000032807,-0.038761667518573815,4.815452676537055e-31,1.1895881117927508e-30,-0.045310143946426164,-0.032209859997012376,Alox12b
ENSMUSG00000034563,-0.03876710202855977,4.724913035664446e-31,1.1675100162254624e-30,-0.045315575459788995,-0.03221529703799717,Ccpg1
ENSMUSG00000054196,-0.03877539418152837,4.5900109280829425e-31,1.1344564824723041e-30,-0.045323863039666026,-0.03222359305359377,Cthrc1
ENSMUSG00000104671,-0.038776045227742556,4.579582622142956e-31,1.132158868267727e-30,-0.04532451372679247,-0.03222424440311474,Gm43062
ENSMUSG00000032572,-0.03877684767964076,4.566761490367091e-31,1.12926841997208e-30,-0.045325315736086745,-0.03222504722886365,Col6a4
ENSMUSG00000029915,-0.03878242239073957,4.478670118609503e-31,1.1077591191218164e-30,-0.04533088737214015,-0.032230624537372986,Clec5a
ENSMUSG00000005355,-0.03878600528894875,4.422945918642705e-31,1.0942468873435686e-30,-0.04533446829378528,-0.03223420910516792,Casp14
ENSMUSG00000039699,-0.038788953814720896,4.377604687709599e-31,1.0832973738454833e-30,-0.045337415192829,-0.032237159005042634,Batf2
ENSMUSG00000020704,-0.038790399140720404,4.3555478799305805e-31,1.078105910873906e-30,-0.04533885972138742,-0.03223860500464964,Asic2
ENSMUSG00000042320,-0.0388005298914777,4.204010951270179e-31,1.040854407345922e-30,-0.04534898488185713,-0.03224874047770657,Prox2
ENSMUSG00000042570,-0.03880891758536361,4.082516225521106e-31,1.0110243252900213e-30,-0.04535736794628009,-0.0322571320824116,Mier2
ENSMUSG00000049882,-0.03881223425360959,4.035442105124579e-31,9.996140958941241e-31,-0.045360682783685886,-0.032260450297331475,Vcpkmt
ENSMUSG00000021061,-0.038812369345875924,4.033536177652628e-31,9.993895385660624e-31,-0.045360817801376636,-0.03226058545259893,Sptb
ENSMUSG00000050463,-0.038813793569441916,4.013497039391474e-31,9.946708895641819e-31,-0.04536224123870756,-0.032262010340375104,Krt78
ENSMUSG00000097622,-0.03881680914813449,3.971392770727126e-31,9.844801117320591e-31,-0.045365255152578145,-0.03226502732552048,A330033J07Rik
ENSMUSG00000055053,-0.0388188647430084,3.942943653220594e-31,9.776701346939236e-31,-0.04536730961254365,-0.032267083879183346,Nfic
ENSMUSG00000028187,-0.038819636011183524,3.9323216939927086e-31,9.752781979148583e-31,-0.0453680804548819,-0.03226785550711459,Rpf1
ENSMUSG00000021068,-0.03881980000840644,3.9300667775996944e-31,9.749607485982868e-31,-0.045368244361556745,-0.032268019580834605,Nin
ENSMUSG00000020400,-0.03883580917298661,3.716012955880381e-31,9.220875821043128e-31,-0.04538424468527252,-0.03228403621464768,Tnip1
ENSMUSG00000025952,-0.038842221782999946,3.6335552017176993e-31,9.018503851371804e-31,-0.045390653753058334,-0.032290451817471054,Crygc
ENSMUSG00000078783,-0.0388498072025701,3.5383589806612487e-31,8.784406605415216e-31,-0.045398234981862955,-0.03229804077790675,Gm9733
ENSMUSG00000025194,-0.0388504481564101,3.5304294480738077e-31,8.766897064995798e-31,-0.0453988755815565,-0.03229868203097792,Abcc2
ENSMUSG00000079553,-0.03885178612169153,3.5139336715150908e-31,8.728101518914781e-31,-0.04540021280755416,-0.03230002062090971,Kifc1
ENSMUSG00000042417,-0.03885876405573704,3.429134873512704e-31,8.519589747857649e-31,-0.04540718688560843,-0.0323070018130956,Ccno
ENSMUSG00000033255,-0.038859472296900475,3.4206424257512654e-31,8.500602449680084e-31,-0.045407894735363656,-0.032307710384987094,Gm5134
ENSMUSG00000031766,-0.03886159641619022,3.3952973379899404e-31,8.439714983817898e-31,-0.04541001768072323,-0.032309835496218325,Slc12a3
ENSMUSG00000050296,-0.03886496198636472,3.3555203842843995e-31,8.342914928603678e-31,-0.045413381390737806,-0.03231320263820019,Abca12
ENSMUSG00000091297,-0.03886884866662503,3.3101598456258127e-31,8.232180665570287e-31,-0.045417265922634446,-0.032317091133824645,Gm8439
ENSMUSG00000085504,-0.03886948404878244,3.3028025617918403e-31,8.215926770626468e-31,-0.04541790095356534,-0.03231772681277088,Gm14055
ENSMUSG00000008658,-0.038872729861127026,3.2654708388916284e-31,8.125082953201365e-31,-0.04542114497160741,-0.03232097414132645,Rbfox1
ENSMUSG00000029074,-0.03888607783713045,3.1163022162680576e-31,7.755854196784613e-31,-0.045434485567326086,-0.03233432835400199,Ttll10
ENSMUSG00000020235,-0.03889274903647337,3.044304602426187e-31,7.578552657272062e-31,-0.045441153077193125,-0.03234100267125473,Fzr1
ENSMUSG00000075040,-0.038894498185408195,3.025702090203925e-31,7.534118750507781e-31,-0.04544290125867269,-0.03234275263778372,Zfp408
ENSMUSG00000043747,-0.03889505488935087,3.019805151071653e-31,7.521307972781203e-31,-0.04544345765469369,-0.03234330960195159,1520401A03Rik
ENSMUSG00000020589,-0.03889564775389167,3.01353772212963e-31,7.507567817961212e-31,-0.04544405019130735,-0.03234390274362495,Fam49a
ENSMUSG00000028434,-0.03889704517231173,2.9988160475996757e-31,7.472753669573077e-31,-0.04544544683676463,-0.03234530081528186,Epb41l4b
ENSMUSG00000025389,-0.03890041136620522,2.9636459861026157e-31,7.386954102947696e-31,-0.045448811168589134,-0.032348668582840724,Mip
ENSMUSG00000097305,-0.03891394794692853,2.8263022144769093e-31,7.048135198196781e-31,-0.04546234025981648,-0.032362211493295844,Gm17276
ENSMUSG00000092111,-0.03892005145963034,2.766460375345943e-31,6.900624533165235e-31,-0.04546844039479161,-0.03236831786079916,Vmn2r113
ENSMUSG00000026180,-0.038923819509086834,2.730146322401326e-31,6.811742321360594e-31,-0.04547220635873932,-0.03237208767293301,Cxcr2
ENSMUSG00000071356,-0.03892793281579812,2.6910449861667723e-31,6.715859710922816e-31,-0.04547631738863921,-0.03237620290404434,Reg3b
ENSMUSG00000043036,-0.0389324586969696,2.648663849054715e-31,6.611742009622354e-31,-0.04548084076437342,-0.03238073090289444,Ccdc63
ENSMUSG00000097098,-0.03893530896034088,2.6223142321009943e-31,6.5476010789038554e-31,-0.04548368944975809,-0.03238358250005382,9330111N05Rik
ENSMUSG00000029798,-0.03893655885741898,2.6108416391950456e-31,6.520583514473141e-31,-0.04548493865482415,-0.032384832982058125,Herc6
ENSMUSG00000028517,-0.03893707457665715,2.606122474161713e-31,6.510423367878374e-31,-0.0454854540885257,-0.03238534894264831,Plpp3
ENSMUSG00000042631,-0.03893868449344891,2.591445103713889e-31,6.475375071748848e-31,-0.04548706311393756,-0.03238695961288924,Xkr7
ENSMUSG00000078670,-0.038941811048116726,2.5631748114369955e-31,6.406335444731305e-31,-0.04549018793739525,-0.03239008763089763,Fam174b
ENSMUSG00000068323,-0.03894264583145667,2.5556786315271834e-31,6.3891965788179585e-31,-0.045491022258484164,-0.03239092280496806,Slc4a5
ENSMUSG00000038756,-0.03895280356157824,2.46618945670845e-31,6.167015395620031e-31,-0.045501174363155344,-0.03240108529027157,Ttll6
ENSMUSG00000045731,-0.038958141892034816,2.420413250515116e-31,6.054060156365974e-31,-0.04550650973665002,-0.03240642612032681,Pnoc
ENSMUSG00000021620,-0.038958988829894306,2.4132286959980975e-31,6.037599939950206e-31,-0.04550735620534667,-0.03240727345478752,Acot12
ENSMUSG00000071177,-0.038960260170204444,2.4024836701876217e-31,6.01222139686592e-31,-0.04550862684137776,-0.032408545390454305,Serpina1d
ENSMUSG00000046805,-0.03896125660422831,2.3940952912384687e-31,5.992729139520572e-31,-0.04550962272339647,-0.03240954229111363,Mpeg1
ENSMUSG00000030047,-0.038965999937333046,2.354560966544268e-31,5.895245284287101e-31,-0.04551436342860797,-0.03241428784572575,Arhgap25
ENSMUSG00000030000,-0.03897020479721354,2.3200569920790567e-31,5.8103105236139665e-31,-0.04551856595867262,-0.03241849467517041,Add2
ENSMUSG00000028392,-0.03897437831052897,2.2863066776206835e-31,5.7272211363243575e-31,-0.045522737159311405,-0.03242267014359677,Bspry
ENSMUSG00000031725,-0.03897593692692752,2.27382787268657e-31,5.69738880653112e-31,-0.0455242949119724,-0.032424229490198506,Ces1f
ENSMUSG00000019866,-0.03899061201646823,2.159600285282878e-31,5.412532043315484e-31,-0.04553896186746574,-0.03243891145650168,Aim1
ENSMUSG00000030768,-0.03899768008482405,2.1066351832415024e-31,5.28111101339058e-31,-0.0455460260171548,-0.032445982837970684,Disp1
ENSMUSG00000098040,-0.039006395736344734,2.0430963156731223e-31,5.12311011954143e-31,-0.045554736835656695,-0.03245470257580201,Gm20757
ENSMUSG00000041261,-0.03901290366620537,1.996896318109429e-31,5.00851848033466e-31,-0.04556124115607893,-0.03246121355753911,Car8
ENSMUSG00000048747,-0.03904649720250262,1.774410973433587e-31,4.451608061800269e-31,-0.04559481605184558,-0.03249482285627989,E130114P18Rik
ENSMUSG00000030177,-0.03904947436817254,1.7559236254730498e-31,4.406332811726599e-31,-0.04559779156481893,-0.03249780141958227,Ccdc77
ENSMUSG00000062939,-0.039062102101872075,1.6796114272092872e-31,4.215892136569496e-31,-0.0456104122872669,-0.032510435082673636,Stat4
ENSMUSG00000041538,-0.03906729126582458,1.6492151672054282e-31,4.140635619396003e-31,-0.045615598569452395,-0.03251562668382125,H2-Ob
ENSMUSG00000025754,-0.039068751495292535,1.6407605667099288e-31,4.120443412129404e-31,-0.04561705798792817,-0.03251708759917905,Agbl1
ENSMUSG00000047496,-0.039075524065430654,1.6021071652932241e-31,4.02438373597896e-31,-0.045623826796304744,-0.032523863350852465,Rnf152
ENSMUSG00000096947,-0.03907953323813496,1.5796528495270633e-31,3.968977008861968e-31,-0.045627833741867754,-0.032527874407220735,Gm26723
ENSMUSG00000015854,-0.039079658978816774,1.578953685734965e-31,3.968217355453544e-31,-0.045627959412695776,-0.03252800020698378,Cd5l
ENSMUSG00000043310,-0.03908160714159731,1.5681603664480018e-31,3.9420823691503313e-31,-0.045629906493170315,-0.03252994928516573,Olfr571
ENSMUSG00000042042,-0.039085521249391304,1.5466961420883238e-31,3.8891026957212064e-31,-0.04563381842632297,-0.03253386523226869,Csgalnact2
ENSMUSG00000027957,-0.03908594608613037,1.5443840380816497e-31,3.8842656893401653e-31,-0.04563424302701468,-0.032534290268658214,Slc35a3
ENSMUSG00000047281,-0.03909134814590612,1.515281730209247e-31,3.8120295099603694e-31,-0.04563964208509704,-0.03253969486731858,Sfn
ENSMUSG00000047841,-0.03910491081343088,1.4445934588951287e-31,3.6351118744215624e-31,-0.04565319721474209,-0.032553263910776044,BC051628
ENSMUSG00000076441,-0.039105431051598714,1.4419481963930815e-31,3.6293687299095936e-31,-0.045653717163723156,-0.032553784393560645,Ass1
ENSMUSG00000051669,-0.0391070770019484,1.4336106447620632e-31,3.6092916534795147e-31,-0.045655362199108776,-0.032555431117862056,AU021092
ENSMUSG00000025163,-0.03911488894706113,1.3946873425842235e-31,3.512181673594116e-31,-0.045663169801170606,-0.0325632467367592,Cd7
ENSMUSG00000024798,-0.03911828429983021,1.3780987161383936e-31,3.4712814008523767e-31,-0.04566656326604389,-0.03256664368653715,Htr7
ENSMUSG00000027867,-0.03911914245130275,1.3739371631259315e-31,3.46167085695624e-31,-0.045667420940340146,-0.03256750224166638,Spag17
