,Surface ectoderm_corr,Surface ectoderm_pval,Surface ectoderm_qval,Surface ectoderm_ci_low,Surface ectoderm_ci_high,gene_annotation
ENSMUSG00000030769,0.19787687836095816,0.0,0.0,0.19156554647822185,0.20417184636039534,Slc5a11
ENSMUSG00000032473,0.19782870006155603,0.0,0.0,0.1915172449510297,0.20412379494841,Cldn18
ENSMUSG00000053199,0.1977316643993449,0.0,0.0,0.19141996118916096,0.20402701475741133,Arhgap20
ENSMUSG00000044951,0.19772777400122168,0.0,0.0,0.19141606084669854,0.20402313459919114,Mylk4
ENSMUSG00000006418,0.1976040009120261,0.0,0.0,0.19129197148222124,0.20389968718945145,Rnf114
ENSMUSG00000030048,0.1975610993578859,0.0,0.0,0.19124896034955405,0.20385689847382676,Gkn3
ENSMUSG00000035242,0.19753461632452818,0.0,0.0,0.19122240968571744,0.20383048508342533,Oaz1
ENSMUSG00000052906,0.19752735921771056,0.0,0.0,0.19121513404783122,0.20382324705916496,Ubxn8
ENSMUSG00000042596,0.19741480133039463,0.0,0.0,0.19110228883204158,0.2037109850546125,Tfap2d
ENSMUSG00000078771,0.19737915830367836,0.0,0.0,0.19106655485353757,0.20367543568878854,Evi2a
ENSMUSG00000043439,0.19736901200310664,0.0,0.0,0.19105638266528985,0.2036653160471021,E130012A19Rik
ENSMUSG00000096986,0.19726498608256662,0.0,0.0,0.19095209140707894,0.20356156337173542,4930509E16Rik
ENSMUSG00000030365,0.19721066831422035,0.0,0.0,0.19089763514768973,0.20350738822382072,Clec2i
ENSMUSG00000032387,0.19715185314215877,0.0,0.0,0.19083867006161873,0.20344872743740122,Rbpms2
ENSMUSG00000020334,0.19705052705510193,0.0,0.0,0.19073708581132381,0.20334766721808453,Slc22a4
ENSMUSG00000022828,0.19704966167924648,0.0,0.0,0.19073621823120657,0.20334680411229575,Gtf2e1
ENSMUSG00000005089,0.19704406560302953,0.0,0.0,0.19073060790105476,0.20334122271555183,Slc1a2
ENSMUSG00000097727,0.19703355737568565,0.0,0.0,0.19072007290900178,0.20333074205199475,F630040K05Rik
ENSMUSG00000099553,0.19702562911290153,0.0,0.0,0.19071212445370325,0.2033228345846218,Gm29538
ENSMUSG00000023963,0.19700751078425574,0.0,0.0,0.19069395998254382,0.20330476377630372,Cyp39a1
ENSMUSG00000044164,0.1969569661690299,0.0,0.0,0.19064328666662148,0.20325435170563233,Rnf182
ENSMUSG00000028373,0.19688745961172885,0.0,0.0,0.19057360318117664,0.20318502736279045,Astn2
ENSMUSG00000072980,0.19687148034210533,0.0,0.0,0.19055758324550112,0.2031690899745904,Oip5
ENSMUSG00000027967,0.19687079725621018,0.0,0.0,0.19055689842127815,0.20316840867897865,Neurog2
ENSMUSG00000111482,0.19683093261689696,0.0,0.0,0.19051693234444317,0.20312864850937815,RP24-247B20.2
ENSMUSG00000028677,0.1968135807802307,0.0,0.0,0.1904995363617189,0.20311134213863874,Rnf220
ENSMUSG00000023027,0.19666911244329902,0.0,0.0,0.1903547006264287,0.2029672521902486,Atf1
ENSMUSG00000030247,0.19652967028384394,0.0,0.0,0.19021490411142034,0.20282817499618225,Kcnj8
ENSMUSG00000019874,0.19630001478132908,0.0,0.0,0.18998466555807303,0.20259912002276295,Fabp7
ENSMUSG00000030278,0.1961862438112122,0.0,0.0,0.18987060600279637,0.20248564629849022,Cidec
ENSMUSG00000027790,0.196100760556436,0.0,0.0,0.18978490602808043,0.20240038627183118,Sis
ENSMUSG00000033788,0.19607768832994404,0.0,0.0,0.1897617753246194,0.20237737427901473,Dysf
ENSMUSG00000000409,0.19587313138100196,0.0,0.0,0.18955670022906815,0.20217335105389025,Lck
ENSMUSG00000051043,0.1958585362569729,0.0,0.0,0.1895420681563774,0.20215879399011744,Gprc5c
ENSMUSG00000107253,0.19576519257856984,0.0,0.0,0.18944848823773117,0.20206569366171276,Gm43634
ENSMUSG00000023473,0.19564203789465612,0.0,0.0,0.18932502204152138,0.20194285987182783,Celsr3
ENSMUSG00000036641,0.19561810259824675,0.0,0.0,0.18930102622541647,0.20191898691864563,Ccdc148
ENSMUSG00000024505,0.19559018493617264,0.0,0.0,0.18927303798388453,0.20189114196303415,Dtwd2
ENSMUSG00000045502,0.19558566056017895,0.0,0.0,0.18926850217065014,0.20188662936899396,Hcar2
ENSMUSG00000015880,0.19555606993205443,0.0,0.0,0.18923883674656236,0.2018571157913977,Ncapg
ENSMUSG00000012777,0.19553786881094848,0.0,0.0,0.18922058962437519,0.20183896205819415,Acpt
ENSMUSG00000055865,0.195520773318807,0.0,0.0,0.18920345092946633,0.20182191107142908,Fam19a3
ENSMUSG00000038271,0.19552065575985328,0.0,0.0,0.18920333307343756,0.20182179381850804,Iffo1
ENSMUSG00000032766,0.19545546844744108,0.0,0.0,0.1891379810587331,0.20175677617567567,Gng11
ENSMUSG00000049350,0.19535847123724215,0.0,0.0,0.18904073887893194,0.2016600313270816,Zg16
ENSMUSG00000052981,0.19531385225745584,0.0,0.0,0.18899600725407326,0.20161552839302765,Ube2ql1
ENSMUSG00000014158,0.1952514280585115,0.0,0.0,0.18893342550300335,0.2015532665042404,Trpv4
ENSMUSG00000028273,0.19523215855608522,0.0,0.0,0.18891410737674172,0.2015340470944686,Pdlim5
ENSMUSG00000053161,0.19509523315583865,0.0,0.0,0.18877683660565028,0.2013974775032922,Daw1
ENSMUSG00000029174,0.19507495322555407,0.0,0.0,0.18875650554371237,0.20137725025082018,Tbc1d1
ENSMUSG00000018199,0.1950557552597019,0.0,0.0,0.18873725917914735,0.20135810214738842,Trove2
ENSMUSG00000079471,0.19502685987915583,0.0,0.0,0.18870829096153313,0.20132928180704646,Gm7325
ENSMUSG00000037996,0.1949374780996857,0.0,0.0,0.18861868394553438,0.20124013207957497,Slc24a2
ENSMUSG00000074909,0.19493624537449616,0.0,0.0,0.18861744811468953,0.20123890255404314,Ranbp6
ENSMUSG00000022468,0.1949360900887648,0.0,0.0,0.18861729243774186,0.20123874767136957,Endou
ENSMUSG00000029074,0.19492406212882765,0.0,0.0,0.18860523417634514,0.20122675093010167,Ttll10
ENSMUSG00000009687,0.1947201683439154,0.0,0.0,0.18840082702155347,0.20102338606550343,Fxyd5
ENSMUSG00000021314,0.19467350427779784,0.0,0.0,0.18835404554024365,0.20097684297410984,Amph
ENSMUSG00000044912,0.1946463351505633,0.0,0.0,0.18832680806380236,0.200949744268642,Syt16
ENSMUSG00000036845,0.1944641983416015,0.0,0.0,0.18814421330541917,0.20076807930507606,Lin37
ENSMUSG00000030996,0.1944527390161108,0.0,0.0,0.18813272518217597,0.20075664965172882,Art1
ENSMUSG00000049339,0.1942369537740203,0.0,0.0,0.18791639798586462,0.20054142283157167,Fam134a
ENSMUSG00000040312,0.19420288304483052,0.0,0.0,0.18788224174258045,0.20050744021702072,Cchcr1
ENSMUSG00000027207,0.19414926909138092,0.0,0.0,0.18782849325447065,0.20045396489070322,Galk2
ENSMUSG00000045248,0.19410488378016408,0.0,0.0,0.18778399659486866,0.20040969431611877,Med26
ENSMUSG00000006717,0.1940833347412087,0.0,0.0,0.18776239350570256,0.20038820097243712,Acot13
ENSMUSG00000036634,0.1938775970007411,0.0,0.0,0.18755614003305057,0.20018299467260475,Mag
