,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000045126,-0.18654188678809128,8.991509900454866e-211,2.4211400644436047e-210,-0.1980403667015144,-0.17499207306423425,Olfr1445
ENSMUSG00000030963,-0.1865418928428892,8.99122273777723e-211,2.4211400644436047e-210,-0.198040372728572,-0.17499207914522638,Umod
ENSMUSG00000110717,-0.18654347584888448,8.916458472581638e-211,2.401457749219223e-210,-0.1980419484819334,-0.1749936689996402,RP23-44D2.1
ENSMUSG00000097982,-0.1865451953577317,8.835950735186411e-211,2.3800357921041885e-210,-0.19804366011268368,-0.17499539594751437,Scgb2b12
ENSMUSG00000073789,-0.18654703808821413,8.750479591326955e-211,2.357272053173792e-210,-0.1980454944004394,-0.17499724665019034,Gm10577
ENSMUSG00000020166,-0.18654743355769252,8.732244489751819e-211,2.3526178724063056e-210,-0.19804588805800874,-0.17499764383059657,Cnot2
ENSMUSG00000101186,-0.1865476604838459,8.721798067111797e-211,2.350061305352599e-210,-0.1980461139444606,-0.17499787173850698,Gm29235
ENSMUSG00000070313,-0.18654904389829488,8.658382806050745e-211,2.333230322183711e-210,-0.19804749102053,-0.17499926113808772,A630095E13Rik
ENSMUSG00000099516,-0.18655201226464585,8.52386392940894e-211,2.297232790283735e-210,-0.19805044578658595,-0.17500224234677855,Gm29066
ENSMUSG00000072674,-0.1865536734482327,8.449496420703089e-211,2.277440291152731e-210,-0.19805209935896356,-0.17500391071740232,Plac9b
ENSMUSG00000106845,-0.1865539251716001,8.438284009221564e-211,2.2746678633553783e-210,-0.19805234992897935,-0.17500416352984546,Gm43156
ENSMUSG00000034724,-0.18655518771001162,8.382271086896199e-211,2.259816841171357e-210,-0.19805360668264235,-0.17500543153062526,Cnot6l
ENSMUSG00000095619,-0.1865571831910439,8.294497357028325e-211,2.2363990677548808e-210,-0.19805559302062345,-0.1750074356451778,Vmn1r157
ENSMUSG00000110135,-0.18656027551947726,8.160287709294098e-211,2.2004545177220065e-210,-0.1980586711801978,-0.17501054135287014,RP23-80J7.5
ENSMUSG00000101540,-0.18656068394067352,8.142724819977278e-211,2.1959597954754187e-210,-0.19805907773001627,-0.17501095154115753,Gm28465
